Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2017;333.187.749;19.811.459;5.274.159;40.454.641;267.647.490;1;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2017;314.901.491;11.238.124;37.566.808;78.109.629;156.571.015;21.939;31.393.977
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2017;302.285.126;2.766.385;14.975.905;47.920.297;67.999.988;66.627;168.555.925
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2017;251.820.331;26.522.304;23.883.572;58.105.111;60.585.715;77.862;82.645.767
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2017;192.137.434;26.394.819;24.210.397;60.245.719;81.261.926;24.573;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2017;123.035.539;5.766.317;15.053.095;39.286.732;47.527.854;38.949;15.362.591
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2017;43.188.940;1.255.868;651.131;10.289.460;21.334.751;1.281;9.656.449
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2017;13.896.721;2.582.677;445.050;1.222.908;9.646.027;59;0
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2017;13.208.840;756.114;400.191;622.804;9.918.017;123;1.511.591
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2017;11.663.395;173.485;905.392;4.860.688;3.697.450;62;2.026.318
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2017;11.410.462;384.457;1.364.431;5.009.441;4.507.992;8.241;135.899
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2017;10.604.245;328.572;355.759;9.788.948;130.358;610;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2017;10.437.073;519.766;151.291;392.182;6.103.063;0;3.270.771
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2017;9.778.436;975.752;584.205;3.957.656;4.260.813;10;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2017;8.422.314;712.193;2.175.155;4.188.205;1.346.568;192;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2017;8.012.663;687.531;525.677;3.292.630;3.506.690;134;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2017;7.850.057;352.498;525.466;5.883.830;1.075.647;12.616;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;03/2017;7.456.792;449.009;916.939;5.053.861;1.036.979;4;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2017;7.185.069;260.175;321.719;3.151.609;3.235.371;1.001;215.195
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2017;6.736.175;439.793;57.590;795.733;5.443.059;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;03/2017;5.778.886;88.478;325.970;2.967.462;2.396.843;132;0
CREDIT SUISSE;30.771;b1;C;3;S2;199;SAO PAULO;SP;03/2017;4.827.704;10.907;60.159;374.060;2.208.169;0;2.174.409
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;03/2017;4.500.085;56.634;186.856;1.228.453;1.270.288;2;1.757.852
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;03/2017;4.053.020;1.916.531;281.830;1.137.631;503.330;16.055;197.642
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;03/2017;3.927.676;174.487;352.154;1.314.603;2.086.420;12;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2017;3.697.046;718.324;489.953;1.739.915;748.790;64;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2017;3.695.110;0;123.675;610.846;2.960.589;0;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;03/2017;3.688.920;160.611;16.244;828.421;2.376.080;0;307.563
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;03/2017;3.397.694;254.119;0;343.032;2.800.543;0;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;03/2017;3.362.330;467.491;10.290;1.048.850;1.210.567;197;624.935
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;03/2017;3.334.427;51.957;674.075;2.276.432;331.962;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2017;3.217.533;1.344.585;714.499;943.826;214.622;0;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;03/2017;2.959.283;310.567;44.079;1.874.424;730.207;7;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;03/2017;2.785.295;615;28.001;317.158;2.439.519;2;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2017;2.553.210;106.198;290.340;1.929.550;226.980;143;0
BANCO DA AMAZOA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;03/2017;2.513.186;14.640;144.920;220.713;2.132.848;64;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;03/2017;2.357.579;271.189;380.274;985.059;721.057;1;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;03/2017;2.353.825;28.551;0;481.063;929.942;0;914.268
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;03/2017;2.298.542;24.188;123.016;346.324;1.805.011;3;0
DEUTSCHE;51.183;b1;I;3;S3;199;SAO PAULO;SP;03/2017;2.235.433;1.725;30.223;349.213;1.854.272;0;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;03/2017;1.948.437;135;13.801;531.107;1.340.910;62;62.423
