Time; INAD_TOT ;INAD_TOT_MIL
2018-03; 210.366,00 ; 0,21 
2018-06; 224.714,00 ; 0,22 
2018-09; 266.003,00 ; 0,27 
2018-12; 382.932,00 ; 0,38 
2019-03; 432.260,00 ; 0,43 
2019-06; 481.699,00 ; 0,48 
2019-09; 524.213,00 ; 0,52 
2019-12; 566.237,00 ; 0,57 
2020-03; 720.512,00 ; 0,72 
2020-06; 750.221,00 ; 0,75 
2020-09; 840.003,00 ; 0,84 
