Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2019;685.398.201;108.248.697;508.922.314;25.012.429;0;0;38;24.507.673;0;0;334.490;7.511.328;0;0;10.846.545;14.686;0
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2019;663.487.114;283.634.083;49.976.034;3.530.976;2.598.929;455.832;12.831.253;24.657.442;1.634.495;69.043;90.899;169.885;0;0;4.312;115.431;283.718.500
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2019;613.721.337;389.979.387;61.589.958;11.769.495;6.600.781;42.580;5.138;68.278.144;0;37.494.760;1.724.686;170.393;0;0;3.127.451;23.183;32.915.378
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2019;517.688.996;286.719.944;57.146.329;6.090.608;4.958.349;15.484;18.804.914;40.518.105;951.934;0;1.633.429;52.884;0;428.679;0;72.709;100.295.631
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2019;351.523.077;243.819.174;47.409.388;3.424.653;1.405.682;22.593;69.010;17.825.476;682.569;0;692.212;55.188;0;780;656.643;41.732;35.417.977
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;12/2019;343.407.229;1.812.339;0;0;0;0;220.490;1.065.184;0;0;0;0;0;0;135.543;320.122.997;20.050.676
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2019;261.078.772;36.963.151;41.342;169.193.872;33.471.666;1.579.170;4.852.062;0;7.138.204;0;0;7.839.304;0;0;0;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;12/2019;188.630.476;1.142.525;0;0;0;0;0;389.515;0;494.078;0;0;0;0;0;186.604.357;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;12/2019;153.742.747;515.042;0;0;0;121.641;0;853.605;0;0;0;0;0;0;0;147.538.528;4.713.931
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2019;76.442.202;47.801.573;239.497;606.908;743.290;0;1.677;18.570.981;167.103;0;14.215;60;0;875;0;1.467;8.294.558
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2019;55.001.835;47.613.413;1.370.600;254.221;222.419;55.381;581.586;3.499.331;26.557;0;0;56.125;0;0;55.959;2.249;1.263.994
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2019;35.755.075;26.815.579;5.646.298;150.293;21.994;0;7.546;2.885.828;17.675;0;43.341;0;0;0;47.135;1.473;117.912
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2019;28.942.855;5.114.869;66.978;2.575.210;0;240.866;0;8.824.531;0;0;25.110;128.730;0;0;53.473;0;11.913.089
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2019;24.596.323;20.005.391;2.984;0;139.601;0;64.592;2.086.420;332.412;224.994;46;0;0;0;715.855;1.744;1.022.284
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2019;23.471.031;22.737.560;119.163;0;0;0;0;265.029;0;0;242.987;48.741;0;0;49.148;8.404;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2019;22.062.929;17.866.338;0;161.989;65.736;0;0;3.967.873;0;0;0;0;0;0;994;0;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2019;17.654.563;11.952.425;0;505;0;0;4.556.936;1.134.594;0;0;0;0;0;0;0;10.104;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2019;17.551.442;13.089.079;0;668.613;1.138.614;0;0;2.480.468;13.254;0;0;0;0;0;161.388;27;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2019;17.199.619;5.567.250;115.654;119.407;201.803;0;0;7.473.607;12.547;0;0;470.837;0;6.555;939.551;2;2.292.405
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2019;13.654.913;10.024.750;0;1.604;0;0;0;3.628.476;82;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2019;13.529.648;8.263.845;56.093;2.885.804;517.457;0;0;0;775.295;0;504.786;42.823;0;72.516;408.484;7;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;12/2019;12.571.319;10.106.536;231.682;871.319;1.089.769;0;0;34.153;237.860;0;0;0;0;0;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2019;11.913.943;10.157.935;469;208.922;471.689;0;345.429;687.524;0;0;0;0;0;0;0;48;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2019;10.938.682;7.659.959;26.301;283.779;70;0;1.287.144;505.862;0;23;1.133.153;0;0;42.014;0;377;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2019;10.709.353;9.696.460;0;0;0;0;15.632;333.537;0;0;0;0;0;0;66.321;2.097;595.306
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;12/2019;10.570.012;10.420.730;0;0;0;0;0;0;0;0;0;0;0;0;0;149.282;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2019;10.478.803;3.106.305;8.006;0;0;0;0;2.016.296;0;1.889.852;9.055;0;0;0;0;292;3.448.996
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2019;10.376.768;9.289.347;143;30.049;0;0;1.057.100;0;0;0;0;0;0;0;0;129;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2019;10.291.401;10.291.400;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2019;10.101.945;9.889.870;0;209.793;0;0;0;0;2.283;0;0;0;0;0;0;0;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2019;10.098.284;10.091.828;0;0;0;0;0;0;0;0;0;0;0;0;0;6.457;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2019;9.600.758;8.580.364;0;101.705;0;0;0;737.558;10.468;0;0;170.159;0;0;0;504;0
JOHN DEERE;50.071;b1;C;3;S3;199;INDAIATUBA;SP;12/2019;8.394.747;7.671.366;0;42.388;48.782;619.728;0;0;12.484;0;0;0;0;0;0;0;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2019;8.172.572;6.240.430;0;191.452;214.569;0;2.290;1.451.514;72.255;0;0;0;0;0;0;60;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;12/2019;8.028.638;8.027.575;0;0;0;0;0;0;0;0;0;0;0;0;0;1.064;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;12/2019;7.353.536;7.353.536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;12/2019;7.209.762;3.957.133;0;0;0;0;0;1.187.887;0;0;5.822;0;0;0;1.949.789;773;108.359
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;12/2019;5.990.171;5.990.170;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;12/2019;5.915.097;5.789.395;0;27.579;32.007;0;0;62.368;3.747;0;0;0;0;0;0;0;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;12/2019;5.383.481;5.378.612;0;0;334;0;90;0;0;0;4.390;0;0;0;0;54;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;12/2019;4.940.422;4.321.752;0;524.515;0;0;0;0;83.184;0;10.970;0;0;0;0;0;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2019;4.869.218;3.928.671;111.989;0;0;0;204.695;598.677;5.091;0;0;237;0;0;0;1.202;18.656
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;12/2019;4.853.551;4.808.961;0;0;0;0;0;0;0;0;0;0;0;0;0;44.590;0
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;12/2019;4.756.329;2.211.093;259.878;0;0;0;2.278.886;5.875;0;0;0;0;0;0;0;597;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;12/2019;4.552.636;74.070;0;0;0;890.992;0;2.011.035;0;0;0;1.185.969;0;0;0;0;390.571
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2019;4.504.660;1.433.489;104.076;1.114.698;0;0;73;4.880;671.948;5.313;220.720;113.751;0;9.904;825.808;0;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;12/2019;4.240.125;2.623.821;545.398;23.627;4.918;0;1.916;930.119;0;0;1.107;0;0;0;55.216;205;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;12/2019;4.166.459;445.302;0;0;0;0;3.000;2.132.908;0;0;0;9.072;0;30.446;324.289;0;1.221.442
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;12/2019;4.150.342;4.150.325;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;12/2019;4.027.418;1.220.044;0;0;0;0;0;2.536.358;0;0;0;29.953;0;0;178.030;16;63.017
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;12/2019;3.985.061;193.448;0;0;0;0;0;156.219;0;3.635.394;0;0;0;0;0;0;0
SCAA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;12/2019;3.917.255;3.917.255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DA AMAZOA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;12/2019;3.603.394;1.917.476;344.107;74.549;0;0;436.009;636.446;95.746;309;17.353;0;0;0;81.380;20;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;12/2019;3.551.762;1.695.964;13.642;23.236;0;0;10.783;1.357.813;13.574;0;10.445;85.180;0;0;288.016;2;53.105
