Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2019;685.398.201;323.474.022;86.172.488;113.173.066;28.332.468;133.782.588;463.568;0
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2019;663.487.114;234.405.290;31.157.464;48.312.014;11.615.463;53.826.203;452.180;283.718.500
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2019;613.721.337;253.129.557;96.964.023;82.896.730;35.413.631;112.139.400;262.617;32.915.378
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2019;517.688.996;231.131.267;36.778.352;62.199.123;21.073.913;65.926.759;283.952;100.295.631
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2019;351.523.077;193.903.561;23.211.831;36.647.903;11.442.104;50.699.761;199.941;35.417.977
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;12/2019;343.407.229;1.934.816;568.383;326.387;63.815;340.154;320.122.997;20.050.676
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2019;261.078.772;147.287.120;32.627.774;39.509.013;4.461.392;28.476.574;8.716.899;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;12/2019;188.630.476;1.714.361;105.803;65.617;0;140.337;186.604.357;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;12/2019;153.742.747;1.369.981;0;64.063;51.402;4.843;147.538.528;4.713.931
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2019;76.442.202;39.088.522;5.284.831;8.074.581;2.021.298;13.668.974;9.437;8.294.558
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2019;55.001.835;29.479.153;4.401.474;6.673.921;2.198.898;10.970.491;13.903;1.263.994
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2019;35.755.075;4.016.203;488.534;1.178.880;523.492;29.423.483;6.572;117.912
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2019;28.942.855;10.916.986;3.414.269;836.600;392.831;1.338.714;130.365;11.913.089
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2019;24.596.323;13.111.477;2.358.470;3.430.454;1.225.978;3.441.543;6.116;1.022.284
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2019;23.471.031;11.005.715;2.258.386;4.852.102;1.669.715;3.672.496;12.616;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2019;22.062.929;8.959.135;9.508.125;1.748.432;340.899;1.506.339;0;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2019;17.654.563;11.114.938;659.110;2.333.940;989.053;2.544.312;13.210;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2019;17.551.442;8.045.358;1.931.297;2.969.302;1.161.950;3.440.737;2.798;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2019;17.199.619;9.122.184;1.455.832;1.375.280;68.730;2.885.187;2;2.292.405
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2019;13.654.913;11.138.312;581.528;529.743;153.232;1.252.098;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2019;13.529.648;227.182;323.447;8.387;3.294;12.966.112;1.226;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;12/2019;12.571.319;7.043.620;820.517;1.592.733;264.056;2.850.112;281;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2019;11.913.943;185.409;3.094.543;61.034;121.981;8.446.518;4.458;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2019;10.938.682;2.354.094;43.325;8.342.905;96.476;99.737;2.144;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2019;10.709.353;5.430.180;889.667;1.975.817;667.281;1.147.193;3.910;595.306
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;12/2019;10.570.012;5.044.537;863.881;2.261.280;332.602;1.909.950;157.762;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2019;10.478.803;4.319.703;636.427;615.652;269.695;1.187.636;693;3.448.996
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2019;10.376.768;336.622;9.862.160;90.104;46.561;39.350;1.971;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2019;10.291.401;4.123.094;1.086.201;2.206.264;902.692;1.971.932;1.217;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2019;10.101.945;2.503.371;2.821.961;751.552;362.722;3.655.286;7.053;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2019;10.098.284;6.363.420;919.071;1.520.688;365.511;919.913;9.681;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2019;9.600.758;3.993.512;1.259.983;289.888;884.410;3.170.195;2.769;0
JOHN DEERE;50.071;b1;C;3;S3;199;INDAIATUBA;SP;12/2019;8.394.747;1.262.978;3.939.342;705.072;521.197;1.958.405;7.754;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2019;8.172.572;4.750.314;1.252.275;571.923;89.895;1.506.994;1.171;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;12/2019;8.028.638;6.019.355;451.251;798.986;106.236;648.434;4.376;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;12/2019;7.353.536;2.689.668;1.028.354;1.685.557;673.764;1.274.599;1.594;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;12/2019;7.209.762;3.266.620;2.004.132;869.711;311.097;648.207;1.637;108.359
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;12/2019;5.990.171;3.095.186;633.810;841.292;287.941;1.131.941;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;12/2019;5.915.097;2.080.856;1.238.409;287.827;152.246;2.152.525;3.233;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;12/2019;5.383.481;14.044;9.519;28.323;5.323.744;7.529;323;0
