Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimôo Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;12/2019;1.566.952.569;583.012.323;1.423.502.221;1.059.191.220;143.450.349;13.208.774;3.100;895
BB;49906;b1;S1;C;1;BRASILIA;DF;12/2019;1.473.282.136;621.378.288;1.374.041.210;1.134.685.505;99.240.926;9.892.596;4.366;941
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;12/2019;1.293.481.745;693.724.208;1.243.082.263;1.064.374.848;50.399.483;11.129.609;3.374;765
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;12/2019;1.145.326.904;453.399.085;1.010.476.375;827.655.134;134.850.529;10.804.027;4.507;1.452
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;12/2019;850.334.928;351.625.822;777.912.419;552.868.662;72.422.509;7.494.008;2.755;1.909
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;12/2019;739.788.328;261.078.772;634.977.736;268.728.011;104.810.592;3.913.478;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2019;184.985.724;29.993.259;163.652.533;91.151.623;21.333.190;2.080.750;16;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;12/2019;172.818.660;76.442.202;160.934.286;138.485.726;11.884.374;1.170.800;120;5
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;12/2019;96.885.221;55.348.482;86.999.340;67.835.324;9.885.881;682.234;95;0
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;12/2019;93.517.087;0;84.049.732;7.716.812;9.467.355;600.467;0;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;12/2019;92.281.196;13.654.919;82.769.711;47.248.091;9.511.485;827.124;127;10
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;12/2019;80.992.089;36.182.670;73.198.835;63.292.379;7.793.254;689.070;521;136
REDECARD S.A.;1425787;n4;;I;2;SAO PAULO;SP;12/2019;71.514.922;0;54.388.150;0;17.126.772;315.946;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;12/2019;58.630.771;10.938.682;53.203.366;16.328.842;5.427.405;991.908;296;2
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;12/2019;56.444.922;11.913.925;55.139.923;51.217.644;1.304.999;66.081;6;0
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;12/2019;53.777.994;9.600.928;51.861.662;45.022.077;1.916.332;46.139;7;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;12/2019;52.177.332;4.552.636;47.632.343;18.090.638;4.544.989;536.204;10;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;12/2019;47.802.395;2.736.135;42.317.709;31.975.306;5.484.686;487.429;11;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;12/2019;44.200.588;17.651.325;39.822.405;20.328.743;4.378.183;137.679;7;0
ING;51073;b1;S3;C;3;SAO PAULO;SP;12/2019;40.504.934;3.985.061;39.516.182;11.785.862;988.752;51.336;4;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;12/2019;36.255.456;17.199.332;32.214.724;24.738.533;4.040.732;276.121;13;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;12/2019;35.560.143;24.605.896;31.864.984;27.229.743;3.695.159;641.498;47;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;12/2019;33.093.454;23.471.247;28.167.285;22.265.865;4.926.169;302.121;4;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;12/2019;32.165.765;22.062.929;28.638.300;23.135.664;3.527.465;179.129;19;0
XP;52120;b1;S4;C;2;RIO DE JANEIRO;RJ;12/2019;29.395.904;388;26.953.793;16.156.695;2.442.111;187.788;6;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;n4;;I;2;SAO PAULO;SP;12/2019;26.571.614;62.338;23.959.848;652.545;2.611.765;284.285;0;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;12/2019;23.560.288;4.241.587;21.951.925;21.034.619;1.608.362;104.745;120;39
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;12/2019;23.511.546;1.530.013;22.249.716;6.123.823;1.261.830;1.645;2;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;12/2019;21.440.200;18.257.865;18.813.111;13.703.699;2.627.089;340.508;2;0
STONE PAGAMENTOS S.A.;16501555;n4;;I;2;SAO PAULO;SP;12/2019;21.101.947;0;20.027.983;2.237.424;1.073.965;317.138;1;0
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;12/2019;20.749.475;2.039.583;19.087.075;4.103.568;1.662.400;44.512;5;0
BANCO DA AMAZOA S.A.;4902979;b1;S3;I;1;BELEM;PA;12/2019;20.478.841;3.603.482;18.279.635;5.567.430;2.199.206;216.157;121;0
NU PAGAMENTOS S.A.;18236120;n4;;I;2;SAO PAULO;SP;12/2019;20.453.618;12.132.217;19.451.787;5.726.508;1.001.831;-173.191;1;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;12/2019;20.014.668;586.133;17.145.420;10.069.643;2.869.248;288.805;4;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;12/2019;18.910.554;11.454.538;14.882.239;11.710.838;4.028.315;228.603;38;0
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;12/2019;18.527.041;0;15.051.231;9.966.841;3.475.809;198.729;4;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;12/2019;18.474.853;10.478.803;16.883.865;13.440.812;1.590.988;99.581;14;0
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;12/2019;17.525.751;1.596.874;16.079.206;3.440.394;1.446.546;-13.175;4;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;12/2019;16.871.798;13.523.709;13.984.795;13.063.036;2.887.003;168.381;4;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;12/2019;16.667.239;10.376.808;14.929.914;12.757.239;1.737.325;257.934;128;9
PAGSEGURO INTERNET S.A.;8561701;n4;;I;2;SAO PAULO;SP;12/2019;16.087.016;75.637;8.485.311;1.236.217;7.601.705;878.934;1;0
ALFA;51293;b1;S3;C;2;SAO PAULO;SP;12/2019;14.151.835;8.172.184;11.605.272;10.614.508;2.546.564;84.615;45;2
BANCO GMAC S.A.;59274605;b2;S3;I;3;SAO PAULO;SP;12/2019;14.021.750;10.832.315;11.457.014;8.462.005;2.564.736;261.436;2;0
MERCEDES-BENZ;51262;b2;S3;C;3;SAO PAULO;SP;12/2019;13.079.021;12.571.723;11.103.122;10.547.776;1.975.899;177.988;4;0
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;12/2019;12.675.356;7.191.766;10.442.024;9.708.592;2.233.332;14.160;4;0
BANCO CLASSICO S.A.;31597552;b1;S3;I;2;RIO DE JANEIRO;RJ;12/2019;12.116.921;0;4.468.189;1.116.462;7.648.732;132.888;2;0
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;12/2019;11.435.591;0;9.515.130;1.712.212;1.920.461;148.550;4;0
BANCO CSF S.A.;8357240;b2;S3;I;3;SAO PAULO;SP;12/2019;11.012.346;10.098.282;8.442.768;1.518.001;2.569.577;299.911;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;12/2019;10.482.635;10.102.121;9.232.799;8.863.265;1.249.835;131.439;2;0
