Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2019;365.110.395;4.847.865;19.021.213;51.214.518;61.595.591;1.201.398;1.760;227.228.050
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;12/2019;323.086.715;7.515;92.025;707.232;1.921.917;301.670;300.005.679;20.050.676
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2019;287.170.728;6.893.373;9.566.886;18.700.780;37.900.071;114.839.114;1.080;99.269.425
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2019;261.077.245;0;1.011.761;3.010.327;251.276.885;5.778.272;0;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2019;246.652.278;2.702.587;23.052.766;47.027.680;140.960.030;2.326.212;319;30.582.683
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;12/2019;188.630.476;55.833;115.605;917.978;720.139;216.563;186.604.357;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;12/2019;153.372.553;5.009;825;520.964;963.489;0;147.168.333;4.713.931
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2019;145.684.729;6.848.562;17.808.664;43.523.483;42.118.724;1.452.564;1.919;33.930.813
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2019;138.195.333;9.689.355;13.900.252;23.312.314;91.293.246;0;166;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2019;51.882.454;465.141;2.083.457;13.334.589;27.456.356;256.885;403;8.285.623
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2019;26.967.224;1.126.265;667.392;395.463;13.058.061;0;0;11.720.042
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2019;16.861.607;195.839;1.950.358;5.971.962;6.456.828;64.730;2;2.221.887
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2019;16.645.463;152.586;576.057;5.483.076;7.819.428;1.595.185;73;1.019.057
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2019;13.579.823;99.983;48.155;916.106;11.806.265;709.314;0;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;12/2019;12.124.055;437.179;1.415.723;5.590.859;4.679.884;410;0;0
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2019;12.108.141;1.132.182;104.297;412.208;9.180.349;15.112;0;1.263.994
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2019;10.289.167;94.591;772.526;4.048.372;4.889.400;484.278;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2019;10.239.098;638.829;2.024.964;5.737.868;1.837.435;0;1;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2019;8.825.103;310.039;1.350.225;3.066.726;3.787.051;193.112;38;117.912
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2019;8.130.029;27.454;135.554;1.391.505;6.575.516;0;0;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2019;7.935.662;18.777;152.877;1.279.737;3.035.275;0;0;3.448.996
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2019;7.210.100;0;136.720;816.480;6.256.901;0;0;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;12/2019;5.739.574;1.859.410;41.170;2.684.357;1.154.636;0;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2019;5.563.407;514.868;365.613;1.780.996;2.569.870;332.057;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2019;4.903.447;325.626;1.140.670;2.554.180;603.716;279.255;0;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;12/2019;4.827.221;460.089;865.542;2.956.664;519.375;25.551;0;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2019;4.312.915;245.995;449.038;1.159.574;1.963.899;494.409;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2019;4.259.349;87.298;295.083;1.882.794;1.917.945;76.229;0;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;12/2019;4.184.085;2.138.029;248.205;810.626;727.258;151.098;510;108.359
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;12/2019;4.070.367;0;101.896;1.389.139;1.357.889;0;0;1.221.442
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;12/2019;3.985.050;34.705;0;482.293;2.841.370;626.681;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;12/2019;3.955.858;42.235;21.087;340.891;3.408.076;83.631;1;59.937
SCAA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;12/2019;3.839.648;185.417;842.683;2.352.148;457.994;1.407;0;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;12/2019;3.481.968;3.088;54.191;229.067;2.801.023;4.028;0;390.571
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;12/2019;3.390.198;370.343;123.980;1.030.043;1.426.939;385.787;2;53.105
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2019;3.339.250;833.575;241.842;2.084.274;179.560;0;0;0
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;12/2019;2.728.948;34.146;20.432;566.462;2.107.909;0;0;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2019;2.502.457;699.494;843.974;906.055;48.329;4.518;86;0
JOHN DEERE;50.071;b1;C;3;S3;199;INDAIATUBA;SP;12/2019;2.376.905;30.412;113.780;1.351.499;881.214;0;0;0
