Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2018;296.605.200;0;1.032.191;3.340.050;276.783.356;15.449.604;0;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2018;288.537.343;3.767.421;24.376.027;55.684.697;170.100.113;0;1.172;34.607.914
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2018;287.180.175;3.073.313;14.106.547;45.438.954;62.727.806;314.219;10.771;161.508.565
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2018;271.083.786;9.117.866;6.647.690;35.298.773;38.420.274;83.474.863;9.567;98.114.754
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2018;159.919.902;9.719.315;16.199.858;25.679.726;108.318.573;0;2.431;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2018;128.399.688;3.249.863;16.609.826;37.116.433;47.568.310;0;5.312;23.849.943
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2018;49.334.132;348.505;1.615.926;10.742.179;27.563.009;572.165;135;8.492.212
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2018;18.889.440;246.334;40.686;424.633;9.632.596;0;0;8.545.191
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2018;12.743.189;125.977;1.462.372;5.109.686;4.086.091;22.459;1;1.936.603
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2018;12.624.873;912.480;208.647;513.059;9.431.601;19.619;0;1.539.466
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2018;12.271.905;123.583;386.387;1.215.515;8.793.951;1.752.469;1;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2018;11.945.838;800.479;301.196;4.433.576;5.769.802;240.401;55;400.330
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2018;10.074.577;114.754;770.180;3.967.515;4.816.107;406.021;0;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2018;9.504.215;302.644;1.251.898;3.435.423;4.063.126;322.570;501;128.053
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;12/2018;9.261.004;280.238;870.991;4.661.700;3.448.076;0;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2018;8.761.699;931.251;77.074;839.872;6.913.502;0;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2018;8.434.878;539.129;1.630.500;4.781.691;1.483.556;0;2;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2018;6.985.146;55.029;149.883;1.001.614;1.706.173;18.595;0;4.053.852
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2018;6.735.731;0;16.615;533.783;6.185.333;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2018;6.013.789;447.752;337.744;2.568.738;2.659.550;0;6;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;12/2018;5.125.946;1.682.255;786;2.440.627;1.002.278;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2018;4.950.414;94.287;316.045;2.391.284;2.148.799;0;0;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;12/2018;4.131.222;110.569;692.261;656.778;590.223;2.043.844;394;37.154
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2018;4.075.384;240.750;1.009.846;2.421.893;400.156;2.739;0;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2018;3.971.906;354.089;319.952;1.373.404;1.919.950;4.511;0;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2018;3.744.015;1.022.212;424.359;2.082.614;214.829;0;0;0
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;12/2018;3.548.057;287.929;42.202;403.767;2.814.159;0;0;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;12/2018;3.458.859;7;42.861;971.501;1.794.834;0;0;649.656
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;12/2018;3.266.204;55.617;592.415;2.183.392;434.780;0;0;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;12/2018;3.182.916;3.347;79.091;1.417.191;896.265;130.058;4;656.960
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;12/2018;3.158.356;96.446;68.897;196.912;2.796.100;0;1;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;12/2018;2.844.092;229.960;88.575;964.265;1.377.309;45.342;13;138.627
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;12/2018;2.772.068;0;33.264;215.177;2.199.642;0;0;323.985
SCAA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;12/2018;2.530.266;123.731;506.470;1.564.804;335.260;0;0;0
