Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2015;390.069.877;14.143.167;56.859.173;96.886.557;164.108.188;27.967;58.044.825
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;06/2015;356.971.822;25.889.925;640.698;51.957.255;278.483.944;0;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;06/2015;322.595.051;4.957.179;17.576.957;62.060.404;72.266.165;61.007;165.673.338
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;06/2015;264.213.640;29.663.756;28.147.791;63.117.940;41.768.363;82.926;101.432.864
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2015;181.249.921;37.858.245;34.254.322;51.061.663;58.048.359;27.331;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;06/2015;132.382.161;7.823.283;13.831.611;46.538.293;40.304.962;35.881;23.848.130
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;06/2015;47.442.312;972.836;979.856;13.637.192;20.189.703;1.625;11.661.099
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;06/2015;47.433.315;6.094.886;2.343.276;12.777.308;17.345.259;5.211;8.867.375
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;06/2015;16.821.454;74.516;2.659.339;1.763.954;9.681.192;353;2.642.099
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;06/2015;16.133.071;398.425;179.425;566.963;9.528.783;0;5.459.474
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;06/2015;14.589.494;560.584;1.755.013;6.682.594;5.387.238;7.997;196.069
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;06/2015;12.621.016;236.922;658.476;4.172.620;3.372.796;39;4.180.163
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;06/2015;12.591.186;1.400.890;3.831.135;2.827.416;4.530.784;960;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;06/2015;11.937.300;1.694.156;803.870;1.228.760;8.210.364;150;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;06/2015;10.178.735;722.454;1.582.138;6.404.869;1.469.261;13;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;06/2015;9.428.806;1.006.104;778.309;3.968.599;3.675.641;153;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;06/2015;8.644.276;583.712;610.090;3.890.653;3.559.818;2;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;06/2015;7.794.981;302.210;257.920;866.615;6.367.320;916;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;06/2015;7.397.406;325.271;756.896;3.595.303;1.916.523;1;803.411
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;06/2015;7.129.738;382.403;485.665;6.102.769;151.084;7.818;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;06/2015;5.966.189;429.709;34.671;690.789;4.811.021;0;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;06/2015;5.880.385;60.183;33.143;288.146;2.088.940;0;3.409.973
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;06/2015;5.540.651;164.017;207.465;2.630.014;2.455.040;147;83.967
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;06/2015;5.302.005;142.446;442.385;2.687.855;2.029.312;6;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;06/2015;5.062.272;276.031;86.127;708.423;3.102.991;0;888.700
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;06/2015;4.755.129;154.885;693.327;1.207.795;2.699.042;79;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;06/2015;4.616.106;870.043;594.145;1.959.361;1.192.529;27;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;06/2015;4.269.035;934.086;1.129.811;1.950.748;254.386;3;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;06/2015;4.130.408;0;10.639;1.307.816;2.811.952;0;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;06/2015;3.842.960;128.794;866.403;2.455.360;392.401;2;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;06/2015;3.840.662;0;112.854;563.022;2.112.290;0;1.052.497
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;06/2015;3.809.694;3.829;31.961;426.115;3.347.788;1;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;;8;SAO PAULO;SP;06/2015;3.495.027;179.539;640.713;1.730.782;943.992;1;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;06/2015;3.451.618;234.713;490.682;2.415.870;310.041;312;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;06/2015;3.149.989;359.441;666.735;1.911.276;212.537;0;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;06/2015;2.963.486;116.800;79.159;1.356.853;876.275;23;534.376
ING;51.073;b1;C;3;;199;SAO PAULO;SP;06/2015;2.930.066;414.965;627.680;509.785;1.377.636;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;;8;SAO PAULO;SP;06/2015;2.746.992;1.398;8.123;460.467;810.224;0;1.466.780
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;06/2015;2.696.329;374.912;316.585;307.513;1.697.287;31;0
BANCO DA AMAZOA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;06/2015;2.683.033;17.451;153.073;345.723;2.166.645;141;0
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;06/2015;2.427.570;562.009;188.018;667.690;1.005.814;4.039;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;;30;PORTO ALEGRE;RS;06/2015;2.348.631;92.780;136.059;1.153.870;965.922;0;0
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;06/2015;2.318.617;581;24.015;364.502;1.929.518;0;0
INDUSVAL;50.531;b1;C;2;;199;SAO PAULO;SP;06/2015;2.036.382;84.887;57.626;795.706;954.868;0;143.296
JP MORGAN CHASE;20.107;b1;C;3;;199;SAO PAULO;SP;06/2015;1.917.758;90.068;36.372;522.531;1.268.787;0;0
SCAA BANCO S.A.;11.417.016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;06/2015;1.886.531;235.772;438.875;1.052.241;159.643;0;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;;8;SAO PAULO;SP;06/2015;1.849.189;0;45.372;606.281;1.197.536;0;0
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;06/2015;1.841.646;109.258;381.991;1.073.993;276.157;246;0
SOFISA;31.873;b1;C;2;;199;SAO PAULO;SP;06/2015;1.787.945;114.347;2.902;297.761;1.372.930;4;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;06/2015;1.775.839;132.629;488.513;1.026.754;127.632;312;0
CREDIT AGRICOLE;51.066;b1;C;3;;199;SAO PAULO;SP;06/2015;1.583.404;30.347;498;205.813;1.346.746;0;0
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;06/2015;1.545.304;10.855;93.927;1.165.459;275.064;0;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;;199;SAO PAULO;SP;06/2015;1.264.546;477;68.093;663.858;532.115;3;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;;8;SAO PAULO;SP;06/2015;1.246.800;65.986;380.101;766.682;34.029;1;
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;;8;UBERLANDIA;MG;06/2015;1.202.169;7.678;186.061;833.887;171.466;3.077;0
BANCO FORD S.A.;90.731.688;b2;I;3;;8;SAO PAULO;SP;06/2015;1.190.551;643;0;1.005.358;184.549;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;;19;BARUERI;SP;06/2015;1.162.922;682;11.308;280.452;870.479;2;0
MIZUHO;51.554;b1;I;3;;199;SAO PAULO;SP;06/2015;1.078.018;113.614;2.521;329.546;625.332;0;7.005
BES;51.482;b2;C;3;;198;SAO PAULO;SP;06/2015;1.066.038;46.680;160.040;232.315;442.919;0;184.084
BBM;30.207;b1;C;2;;199;SALVADOR;BA;06/2015;1.054.005;20.319;48.105;328.166;636.830;0;20.585
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;;30;SAO PAULO;SP;06/2015;1.021.662;164.715;77.289;617.127;162.532;0;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;06/2015;972.606;181.555;105.812;583.971;101.147;121;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;;8;SAO PAULO;SP;06/2015;956.350;31.346;2.639;38.769;883.597;0;0
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;;8;SAO PAULO;SP;06/2015;908.651;0;0;0;908.651;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;06/2015;887.581;29.058;152.613;470.096;235.814;0;0
BANCO MONEO S.A.;7.441.209;b2;I;2;;8;CAXIAS DO SUL;RS;06/2015;841.546;43.433;142.062;634.179;21.871;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;;30;CURITIBA;PR;06/2015;829.804;49.473;32.568;518.098;229.474;191;0
CAIXA GERAL;51.815;b1;C;3;;199;SAO PAULO;SP;06/2015;803.017;112.946;50.409;338.568;301.094;0;0
J.MALUCELLI;30.881;b1;C;2;;199;CURITIBA;PR;06/2015;714.547;1.277;75.807;417.201;219.865;397;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;;8;SAO PAULO;SP;06/2015;690.279;0;0;181.389;508.890;0;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82.937.293;n1;I;1;;30;FLORIANOPOLIS;SC;06/2015;667.027;16.410;57.024;517.867;75.724;1;0
PSA FINANCE;51.365;b2;C;3;;198;SAO PAULO;SP;06/2015;620.197;0;503.470;80.361;36.359;6;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;;8;ARACAJU;SE;06/2015;482.687;50.953;63.381;368.097;0;255;0
BMW;51.420;n1;C;3;;197;SAO PAULO;SP;06/2015;479.467;14.216;58.416;215.552;191.280;3;0
BANCO MODAL S.A.;30.723.886;b1;I;2;;8;RIO DE JANEIRO;RJ;06/2015;460.719;155.312;13.273;186.710;105.424;0;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;;8;SAO PAULO;SP;06/2015;459.000;8.751;62.936;333.316;53.997;1;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71.328.769;b3S;I;2;;9;SERTAOZINHO;SP;06/2015;444.819;45.211;61.947;274.287;63.325;50;0
BANCO RANDON S.A.;11.476.673;b1;I;2;;8;CAXIAS DO SUL;RS;06/2015;435.281;4.688;42.295;339.384;48.908;6;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;;9;BLUMENAU;SC;06/2015;420.022;152.123;200.468;67.024;0;407;0
BOFA MERRILL LYNCH;51.255;b1;C;3;;199;SAO PAULO;SP;06/2015;418.902;1.255;0;376.407;41.235;4;0
BANCO DA CHINA BRASIL S.A.;10.690.848;b1;I;3;;8;SAO PAULO;SP;06/2015;409.543;46.951;40.447;115.337;206.808;0;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15.163.587;n1;I;1;;30;SALVADOR;BA;06/2015;405.447;46.516;43.770;285.740;29.421;0;0
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43.818.780;b2;I;3;;8;BARUERI;SP;06/2015;397.678;1.865;28.692;225.178;141.933;10;0
INTERMEDIUM;51.884;b1;C;2;;199;BELO HORIZONTE;MG;06/2015;389.449;39.386;45.350;269.662;35.046;6;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;;9;LINHARES;ES;06/2015;378.137;32.139;108.474;231.005;6.463;57;0
