Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimôo Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;06/2020;1.939.420.271;657.454.935;1.801.589.722;1.354.584.617;137.830.549;5.063.665;3.002;901
BB;49906;b1;S1;C;1;BRASILIA;DF;06/2020;1.695.050.311;657.191.345;1.589.596.236;1.316.557.366;105.454.075;6.493.549;4.378;799
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;06/2020;1.430.245.412;720.080.138;1.374.364.651;1.178.614.563;55.880.760;5.347.397;3.373;740
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;06/2020;1.317.296.723;478.694.776;1.180.387.515;969.834.554;136.909.208;6.953.527;4.367;1.446
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;06/2020;1.002.584.172;383.102.464;926.109.294;658.978.567;76.474.878;6.121.112;2.771;1.903
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;06/2020;753.937.375;272.144.009;655.442.044;298.930.301;98.495.331;4.961.724;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2020;255.790.752;40.607.957;230.213.481;133.290.727;25.577.270;430.833;18;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;06/2020;205.338.897;75.082.043;192.698.581;164.510.661;12.640.315;921.256;120;5
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;06/2020;122.412.395;56.177.898;112.261.168;87.337.605;10.151.227;443.004;95;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;06/2020;112.888.157;18.646.266;102.828.864;53.429.441;10.059.293;462.255;127;8
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;06/2020;86.591.049;35.965.931;78.373.088;67.213.228;8.217.961;377.299;522;138
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;06/2020;76.275.714;4.422.911;70.720.989;48.523.708;5.554.725;76.984;11;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;06/2020;73.414.501;19.528.551;68.768.316;27.678.506;4.646.185;234.784;7;0
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;06/2020;73.353.759;0;64.207.845;8.653.674;9.145.914;91.597;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;06/2020;71.201.464;12.507.772;69.778.762;65.687.769;1.422.702;32.902;6;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;06/2020;68.055.018;7.033.961;63.233.079;25.319.723;4.821.939;-87.129;10;0
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;06/2020;67.302.416;9.995.098;65.294.669;57.361.560;2.007.747;91.362;7;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;06/2020;59.019.670;10.988.649;53.131.074;19.111.899;5.888.597;332.537;296;2
REDECARD S.A.;1425787;n4;;I;2;SAO PAULO;SP;06/2020;58.470.718;0;41.252.281;0;17.218.437;88.225;1;0
ING;51073;b1;S3;C;3;SAO PAULO;SP;06/2020;57.863.036;4.588.164;56.872.762;17.095.175;990.275;1.396;4;0
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;06/2020;57.346.110;4.842.537;55.016.142;9.684.593;2.329.968;11.949;5;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;06/2020;52.143.225;28.490.661;48.028.640;33.015.414;4.114.585;188.128;19;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;06/2020;49.134.684;18.218.731;45.041.386;30.021.370;4.093.299;142.613;13;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;06/2020;40.985.857;23.353.460;36.865.116;31.053.168;4.120.741;655.063;51;0
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2020;39.444.221;379.410;36.623.006;10.878.779;2.821.215;250.103;6;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;06/2020;33.652.960;24.410.274;28.540.218;24.484.224;5.112.742;314.450;4;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;06/2020;30.862.833;660.903;27.882.491;12.587.138;2.980.341;110.929;4;0
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;06/2020;29.107.144;2.968.813;27.834.390;8.533.624;1.272.754;11.128;2;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;n4;;I;2;SAO PAULO;SP;06/2020;28.153.667;67.481;25.414.806;906.928;2.738.861;166.899;0;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;06/2020;27.107.482;4.709.374;25.523.541;24.527.944;1.583.940;124.712;118;37
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;06/2020;24.916.953;17.649.552;22.186.857;17.688.363;2.730.096;106.664;2;0
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;06/2020;24.016.715;3.527.674;22.512.421;6.334.821;1.504.293;55.696;4;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;06/2020;22.853.074;12.777.661;21.776.957;18.493.360;1.076.117;-514.587;14;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;06/2020;22.527.877;12.497.464;18.491.441;14.944.805;4.036.436;156.194;38;0
BANCO DA AMAZOA S.A.;4902979;b1;S3;I;1;BELEM;PA;06/2020;20.512.334;3.938.955;18.195.805;6.262.815;2.316.529;108.935;121;0
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;06/2020;20.418.609;18.964;18.390.618;7.009.290;2.027.991;99.073;4;0
STONE PAGAMENTOS S.A.;16501555;n4;;I;2;SAO PAULO;SP;06/2020;19.555.943;0;18.429.629;1.230.109;1.126.314;81.546;1;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;06/2020;19.286.718;12.685.937;17.426.465;15.189.667;1.860.252;200.047;128;11
NU PAGAMENTOS S.A.;18236120;n4;;I;2;SAO PAULO;SP;06/2020;19.282.351;12.159.671;18.305.072;4.712.487;977.279;-100.011;1;0
PAGSEGURO INTERNET S.A.;8561701;n4;;I;2;SAO PAULO;SP;06/2020;16.672.131;97.277;8.936.333;738.839;7.735.798;625.741;1;0
