Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2020;740.527.584;276.626.630;54.365.391;3.077.346;2.430.697;410.443;17.314.033;43.363.822;694.771;56.514;85.696;117.695;0;0;4.824;119.091;341.860.632
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2020;711.781.673;110.665.931;524.973.312;24.269.805;0;0;22;29.471.197;0;0;313.199;11.549.061;0;0;10.520.358;18.789;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2020;648.565.397;395.945.192;60.220.727;9.435.287;7.031.513;41.950;5.541;81.003.123;0;48.618.958;1.650.034;141.903;0;0;2.960.049;21.692;41.489.428
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2020;523.823.847;264.789.469;60.931.057;4.253.627;6.877.629;17.268;16.439.878;67.958.863;1.495.004;0;726.306;94.214;0;453.624;0;76.196;87.171.095
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2020;382.998.319;246.139.826;46.467.635;1.776.020;1.462.263;22.557;52.905;26.417.883;792.265;0;716.039;51.734;0;0;1.778.418;53.572;57.267.203
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2020;272.144.009;42.820.257;75.505;165.611.021;42.693.343;1.818.984;5.820.547;0;6.684.570;0;15.329;6.604.453;0;0;0;0;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2020;75.080.561;43.263.229;303.519;526.558;723.804;0;1.408;20.632.981;386.593;0;9.974;24;0;263;0;2.546;9.229.663
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2020;55.636.318;47.104.418;873.586;183.113;226.046;51.248;971.628;4.321.634;15.997;0;0;69.400;0;0;39.841;1.358;1.778.049
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2020;38.778.641;6.372.167;66.855;2.550.450;0;220.007;0;13.278.121;464.289;0;20.826;77.567;0;0;47.747;0;15.680.613
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2020;35.711.048;26.656.042;5.562.924;136.993;20.909;0;7.514;3.107.421;16.390;0;25.888;0;0;0;44.310;2.385;130.271
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;06/2020;28.490.661;24.581.635;8.723;125.603;73.602;0;0;3.700.245;0;0;0;0;0;0;853;0;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;06/2020;24.409.959;23.772.131;110.753;0;0;0;0;203.166;0;0;228.456;42.019;0;0;47.426;6.008;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;06/2020;23.325.445;19.236.806;0;0;110.609;0;42.554;2.149.695;305.822;236.276;7;0;0;0;596.940;5.182;641.554
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;06/2020;19.529.667;8.557.291;0;312;0;0;9.707.239;1.250.905;0;0;0;0;0;0;0;13.921;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;06/2020;18.646.376;12.851.189;0;911;0;0;0;5.794.222;52;0;0;0;0;0;0;0;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;06/2020;18.218.736;5.030.648;0;89.606;233.692;0;0;8.818.516;299.446;0;0;417.070;0;4.714;882.360;3;2.442.682
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;06/2020;17.196.729;13.717.171;0;495.125;1.008.550;0;0;1.821.863;13.691;0;0;0;0;0;140.304;25;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;06/2020;13.464.453;7.974.670;57.469;2.673.340;689.880;0;0;0;1.061.029;0;266.039;23.012;0;88.592;627.595;4;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;06/2020;12.777.659;2.892.572;7.499;0;0;0;0;3.217.515;0;2.174.826;0;0;0;0;0;504;4.484.743
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;06/2020;12.685.937;11.136.110;67;15.296;0;0;1.534.408;0;0;0;0;0;0;0;0;56;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;06/2020;12.508.983;10.241.161;2.273;178.043;979.092;0;416.640;651.832;0;0;0;0;0;0;0;43;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;06/2020;12.408.852;10.226.015;240.265;701.079;1.006.411;0;0;34.764;200.319;0;0;0;0;0;0;0;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;06/2020;11.946.179;10.907.250;0;0;0;0;14.275;229.874;0;0;0;0;0;0;58.948;2.414;733.418
