Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;;;;;;;;Indústrias de Transformação;;;;;;;;Construção;;;;;;;;Serviços Industriais de Utilidade Pública;;;;;;;;Industrias Extrativas;;;;;;;;Comércio, Reparação de Veículos Automotores e Motocicletas;;;;;;;;Admistração Pública, Defesa e Seguridade Social;;;;;;;;Transporte, Armazenagem e Correio;;;;;;;;Outros;;;;;;;;Atividade não Informada ou não se Aplica;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2020;436.018.146;7.622;739.919;1.462.507;1.449.576;583.382;237.952;0;4.480.957;349.527;13.714.118;19.604.059;9.982.081;1.818.338;278.659;13;45.746.794;350.911;1.510.665;1.993.808;2.838.876;582.660;271.171;3;7.548.095;6.004;263.786;877.178;1.152.015;425.724;975.513;273.261;3.973.481;694;1.195.272;641.970;153.267;16.199;81;0;2.007.484;804.495;12.649.192;18.641.594;10.597.012;1.827.921;92.050;0;44.612.264;42;1.608;76.128;210.682;213.034;405.056;94.367;1.000.918;176.845;2.169.846;3.134.179;4.874.991;8.554.669;182.632;0;19.093.161;478.034;7.636.128;10.984.713;11.410.060;4.217.504;1.461.338;1.657;36.189.434;54;1.460;271.364.044
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2020;291.041.290;17.854;447.302;1.089.774;811.961;185.722;39.002;22;2.591.637;414.683;14.992.599;28.753.056;12.600.742;6.672.221;5.909.522;591.930;69.934.754;214.416;1.772.273;2.866.432;4.443.148;1.509.865;113.742;217.188;11.137.063;5.305;184.951;2.110.586;1.467.017;335.225;1.260.506;225.531;5.589.121;1.841;388.594;204.332;175.162;67.375;55.324;0;892.628;880.165;17.875.538;17.031.231;12.838.916;2.917.335;534.417;2.903;52.080.504;255;2.782;4.148;5.345;952;385;208;14.075;125.491;2.854.262;4.896.079;6.847.008;2.363.139;2.108.046;860;19.194.885;577.351;6.457.634;14.168.703;13.778.511;3.935.142;4.429.772;39.888;43.387.000;302;699;86.218.621
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2020;277.449.258;77.567;581.652;1.300.570;1.108.374;411.386;364.465;10.063;3.854.077;856.528;10.449.446;20.412.535;20.928.692;13.321.925;4.629.342;635.972;71.234.440;674.172;842.010;2.502.224;2.416.774;664.798;503.884;61.568;7.665.428;4.181;234.198;830.509;1.627.229;1.664.033;2.812.009;1.569.902;8.742.060;1.649;606.534;546.854;589.540;579.885;21.373;3.709;2.349.544;879.395;11.233.905;18.055.933;13.051.674;3.475.473;3.168.203;537.930;50.402.513;5.005;770.250;3.561.354;9.021.782;9.091.587;31.781.675;1.020.535;55.252.189;517.993;995.831;2.961.472;2.898.190;830.343;5.165.449;1.535.448;14.904.726;809.309;3.145.658;6.690.217;8.181.869;2.236.907;3.736.980;224.147;25.025.088;0;390;38.018.803
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2020;272.143.324;348;20.753;121.184;288.304;101.254;27.976;0;559.817;889.820;724.816;3.934.242;8.098.258;3.896.830;7.826.164;460.739;25.830.868;0;5.708;76.414;204.347;103.909;164.006;33.569;587.953;0;1.306.816;5.769.114;15.785.425;13.977.636;56.504.508;18.918.108;112.261.608;0;266.871;771.742;1.365.762;574.418;1.100.884;0;4.079.678;214.426;626.609;399.873;1.113.679;264.951;295.024;0;2.914.563;26.354;579.081;2.541.921;8.642.399;6.659.864;19.184.096;6.849.052;44.482.767;193.920;459.353;4.720.057;9.302.555;8.687.860;25.755.322;4.369.492;53.488.560;512.220;674.648;1.787.497;3.360.027;2.291.514;8.961.691;113.823;17.701.420;10.236.091;0;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2020;175.712.620;7.054;349.991;751.903;518.303;290.401;44.897;841;1.963.391;280.418;13.285.966;15.621.967;4.935.425;1.467.422;291.299;487.018;36.369.517;163.178;728.278;1.280.053;1.309.818;388.050;282.019;2.399;4.153.796;1.487;174.470;236.400;786.990;104.781;397.589;665.785;2.367.503;1.328;978.767;2.486.868;55.113;15.078;13.056;0;3.550.211;635.790;10.871.984;12.560.206;6.547.993;1.265.632;296.874;143.365;32.321.845;12;46.750;117.667;161.543;162.619;425.621;0;914.212;40.669;1.004.299;1.910.690;1.857.324;5.345.056;1.867.331;88.725;12.114.093;460.108;6.677.356;8.678.373;7.997.963;2.112.076;1.272.873;3.672;27.202.420;30;2.156;54.753.447
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2020;147.040.869;14.481;136.203;352.920;111.905;23.438;1.637;12;640.597;550.092;1.680.879;4.034.090;5.512.660;1.939.243;760.836;57.102;14.534.902;423.519;1.419.826;3.875.812;5.095.107;489.153;185.557;3.984;11.492.957;17.479;1.620.014;2.606.121;5.208.817;3.919.752;13.240.129;4.888.002;31.500.313;11.012;38.675;94.877;29.599;10.244;410;10;184.826;1.266.191;2.915.153;5.608.637;5.463.173;1.157.965;94.385;1.016;16.506.520;226.249;1.248.349;3.700.164;9.819.680;8.495.293;20.460.812;1.519.165;45.469.711;143.755;2.435.365;1.006.088;2.227.316;1.261.249;1.284.629;109.251;8.467.654;801.484;2.665.543;4.931.378;7.070.161;1.757.026;1.007.904;9.722;18.243.217;0;172;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2020;50.985.826;276;149.714;381.098;315.271;49.638;10.058;0;906.054;39.671;2.867.598;4.972.441;2.804.997;1.035.166;1.550.300;0;13.270.173;4.128;343.454;617.521;852.532;62.507;13.310;0;1.893.452;2.672;236.196;599.990;516.685;107.015;17.991;0;1.480.548;10;60.795;26.450;42.496;2.194;0;0;131.944;68.097;3.811.185;6.164.742;3.494.175;680.190;486.894;0;14.705.284;0;3;10;13;0;0;0;26;5.243;299.568;579.059;875.582;275.577;33.323;0;2.068.352;49.093;1.405.950;2.500.033;2.798.091;454.981;102.082;0;7.310.229;89;478;9.219.196
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2020;37.729.352;159.890;66.903;58.157;171.274;10.338;1.295;0;467.856;43.904;1.509.091;2.438.375;2.025.765;265.423;181.377;0;6.463.934;53.893;37.238;339.439;618.001;121.387;16.321;0;1.186.280;24.390;46.318;263.803;493.344;322.969;1.463.083;1.331.628;3.945.536;0;69.215;15.000;0;0;0;0;84.215;247;616.554;2.053.105;750.768;71.270;33;0;3.491.977;0;0;0;0;0;0;0;0;10.422;166.450;154.203;62.845;16.259;0;0;410.179;24.087;290.250;2.334.791;2.747.348;434.559;260.210;0;6.091.245;126.739;0;15.461.392
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;06/2020;18.572.189;0;5.114;4.654;787;132;0;0;10.688;61.074;3.067.678;4.931.583;1.278.972;1.026.028;0;9;10.365.344;7;1.589;8.344;21.224;2.380;0;0;33.544;97;16.379;875;350.000;0;0;0;367.351;0;2.343;8.257;0;0;0;0;10.600;12.264;1.035.133;1.342.520;521.003;1.009.916;124;0;3.920.960;0;0;0;0;0;0;0;0;88.103;134.283;74.426;146.017;21.294;0;0;464.123;91.323;1.342.031;1.481.523;423.455;61.247;0;0;3.399.579;0;0;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;06/2020;17.790.297;8;156.456;141.148;285.251;50.356;22.312;0;655.532;101.120;1.003.981;1.976.396;1.498.285;432.402;132.592;0;5.144.775;649;249.174;777.174;774.758;98.157;31.468;0;1.931.380;3;248.899;71.546;57.155;31.233;3.200;0;412.036;0;111.169;27.685;45.362;1.757;0;0;185.973;30.844;959.135;1.650.327;676.819;83.750;70.205;0;3.471.080;0;0;0;0;0;0;0;0;7.601;137.971;607.516;183.298;41.011;6.123;0;983.520;47.411;605.038;1.002.464;851.725;140.496;8.354;0;2.655.488;0;2;2.350.511
