Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de Clientes;Quantidade de Operações;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2020;37.705.508;107.079.422
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2020;34.343.297;94.243.833
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2020;20.885.867;47.378.031
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2020;18.147.040;38.083.027
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2020;15.384.565;41.388.033
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;06/2020;9.079.355;21.750.673
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;06/2020;8.970.081;25.003.298
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;06/2020;6.308.743;9.659.216
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;06/2020;4.256.886;6.649.692
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;06/2020;4.132.973;7.800.404
OM;50.940;b1;C;2;S4;199;SAO PAULO;SP;06/2020;4.123.524;6.053.196
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2020;3.810.055;5.225.681
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;06/2020;3.328.813;9.370.550
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2020;3.004.634;11.445.445
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;06/2020;2.535.071;7.743.602
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;06/2020;2.139.420;5.006.422
