Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2016;390.812.437;13.374.273;52.710.979;95.498.160;177.721.291;25.600;51.482.134
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2016;378.369.847;26.512.776;967.817;36.778.082;314.111.173;0;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2016;292.563.355;3.908.415;15.936.814;53.377.746;75.427.850;64.386;143.848.144
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2016;263.385.138;31.334.458;29.702.836;57.428.621;38.081.572;79.417;106.758.235
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2016;193.015.319;45.909.355;33.323.917;58.075.797;55.678.879;27.372;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2016;123.990.020;5.675.703;13.572.055;41.324.886;42.652.571;36.050;20.728.753
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2016;44.830.192;6.223.117;2.163.925;11.909.682;15.929.311;4.215;8.599.942
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2016;37.951.822;940.523;682.308;9.725.320;17.687.987;1.509;8.914.175
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2016;37.880.631;3.000.040;144.624;1.345.599;3.109.671;0;30.280.698
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2016;15.458.360;8.610;2.303.598;1.178.856;9.610.717;255;2.356.323
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2016;15.271.414;2.067.489;1.142.010;1.167.380;10.894.451;83;0
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2016;13.584.397;354.156;1.806.874;6.106.131;5.086.324;7.022;223.890
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;03/2016;10.961.726;178.520;823.454;4.293.337;3.226.463;87;2.439.864
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2016;10.905.982;819.092;3.289.915;2.694.204;4.101.924;847;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;03/2016;9.198.116;831.741;604.104;4.069.594;3.692.675;2;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;03/2016;9.090.630;184.498;261.041;859.784;7.784.561;746;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;03/2016;8.923.685;590.733;1.296.102;5.804.883;1.231.960;7;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;03/2016;8.861.388;904.320;706.511;3.823.485;3.426.943;129;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;03/2016;7.519.947;416.084;491.672;5.760.295;842.428;9.467;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;03/2016;6.854.929;11.070;96.502;361.870;2.792.498;0;3.592.989
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;03/2016;6.488.885;377.520;241.284;3.019.412;2.695.753;535;154.380
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;03/2016;6.195.183;547.044;30.870;873.297;4.743.972;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;03/2016;5.635.063;108.167;395.784;2.898.959;2.232.133;20;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;03/2016;4.502.736;0;8.825;932.363;3.561.548;1;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;03/2016;4.438.553;169.409;504.111;1.205.332;2.559.689;13;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;03/2016;4.235.543;655.242;142.571;2.489.117;948.608;5;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;03/2016;4.208.677;8.452;19.098;657.444;2.554.763;0;968.921
CCB;32.119;b1;C;3;;199;SAO PAULO;SP;03/2016;4.064.682;194.620;324.461;1.788.080;1.024.362;0;733.158
ING;51.073;b1;C;3;;199;SAO PAULO;SP;03/2016;3.892.973;1.244.701;661.197;560.524;1.426.551;0;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;03/2016;3.778.786;74.042;873.717;2.484.484;346.541;2;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;03/2016;3.769.540;799.399;514.415;1.639.570;816.130;27;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;03/2016;3.542.318;227.731;64.115;569.486;2.232.263;0;448.722
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;03/2016;3.477.960;1.554.656;328.643;1.010.472;577.786;6.403;0
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;03/2016;3.359.921;404;33.746;429.537;2.896.234;0;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;03/2016;3.162.117;162.123;485.653;2.301.303;212.797;240;0
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;03/2016;3.110.290;2.183;36.631;412.054;2.659.411;11;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;;8;SAO PAULO;SP;03/2016;3.082.472;159.376;543.357;1.467.653;912.086;0;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;03/2016;2.988.233;340.055;51.405;1.073.107;945.712;15;577.940
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;;8;SAO PAULO;SP;03/2016;2.917.683;5.589;6.831;425.246;1.229.361;0;1.250.656
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;03/2016;2.879.533;1.127.807;618.779;987.275;145.666;6;0
BANCO DA AMAZOA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;03/2016;2.700.784;18.503;145.939;200.111;2.336.138;94;0
