Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2020;724.150.958;243.126.690;34.274.273;48.271.927;11.699.728;56.250.486;435.283;330.092.571
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2020;691.461.380;325.772.534;86.759.506;114.176.292;28.610.603;135.710.459;431.985;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2020;650.743.370;270.867.479;100.497.550;84.743.316;37.117.355;114.087.003;252.836;43.177.831
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2020;569.705.045;235.558.607;38.335.188;64.368.591;21.248.761;70.746.738;938.114;138.509.045
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2020;378.261.320;199.494.740;23.866.133;36.948.157;12.044.769;52.351.978;190.979;53.364.563
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2020;263.667.310;149.817.396;32.067.828;38.630.607;4.366.752;28.155.140;10.629.587;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2020;75.161.134;36.924.176;5.409.664;8.006.569;1.892.087;13.298.612;8.312;9.621.714
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2020;55.571.677;29.192.147;4.497.028;6.706.208;2.221.511;10.950.669;13.006;1.991.107
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2020;35.870.863;4.042.904;493.125;1.189.798;517.530;29.487.662;6.526;133.319
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2020;30.671.389;11.643.246;3.386.662;836.696;424.730;1.245.571;130.611;13.003.873
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2020;27.763.468;10.284.133;12.222.438;2.302.940;467.702;2.486.254;0;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2020;24.704.170;11.534.171;2.362.869;5.175.466;1.753.780;3.868.028;9.856;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2020;23.371.631;12.324.012;2.379.765;3.285.851;1.138.867;3.311.511;6.515;925.111
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2020;22.938.343;16.013.201;642.421;2.704.859;994.479;2.569.404;13.979;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2020;17.856.636;8.800.294;2.049.647;1.000.679;113.848;3.138.053;2;2.754.113
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2020;17.655.802;14.127.425;961.393;401.071;93.917;2.071.995;1;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2020;17.567.065;7.862.240;2.067.178;2.974.575;1.242.264;3.417.861;2.947;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2020;13.490.765;180.611;310.223;8.144;3.363;12.987.036;1.388;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;03/2020;12.395.602;6.921.022;823.914;1.552.681;273.520;2.824.131;335;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2020;12.274.653;202.340;3.165.059;64.554;134.386;8.703.396;4.918;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;03/2020;11.981.956;4.211.633;839.955;689.305;203.362;1.592.573;755;4.444.373
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;03/2020;11.966.947;5.702.168;978.172;2.557.551;379.124;2.143.449;206.483;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2020;11.470.556;361.549;10.894.299;108.536;52.904;51.213;2.055;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2020;10.971.449;5.483.031;911.218;2.005.636;672.680;1.204.770;4.331;689.783
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2020;10.716.778;2.404.492;41.868;8.106.877;64.445;96.896;2.200;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2020;10.490.132;2.683.379;2.877.923;778.515;359.410;3.782.981;7.922;0
