Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimôo Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;03/2020;1.861.576.247;639.692.226;1.725.716.228;1.237.850.107;135.860.018;1.833.304;3.012;897
BB;49906;b1;S1;C;1;BRASILIA;DF;03/2020;1.581.652.548;662.095.949;1.478.941.024;1.225.038.164;102.711.525;3.241.925;4.378;838
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;03/2020;1.314.428.681;699.622.365;1.261.297.487;1.073.225.751;53.131.194;2.923.829;3.373;744
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;03/2020;1.241.843.944;476.888.723;1.110.618.670;886.683.508;131.225.274;3.424.876;4.507;1.449
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;03/2020;1.012.440.594;378.348.615;937.285.071;631.967.380;75.155.523;3.911.911;2.769;1.910
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;03/2020;740.643.258;263.667.310;655.242.055;286.391.508;85.401.203;5.544.454;5;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2020;245.986.325;33.245.792;223.982.614;115.680.974;22.003.711;-841.025;18;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;03/2020;184.422.215;75.161.143;172.158.271;145.716.743;12.263.944;497.253;120;5
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;03/2020;118.543.882;17.655.802;108.731.894;54.172.897;9.811.988;296.463;87;8
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;03/2020;108.085.424;56.211.789;98.071.857;75.303.204;10.013.567;221.165;95;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;03/2020;84.738.254;3.334.907;79.100.428;53.097.419;5.637.826;163.502;11;0
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;03/2020;84.219.844;0;74.962.598;10.102.615;9.257.246;166.803;0;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;03/2020;82.933.340;36.185.814;74.865.433;63.976.925;8.067.907;257.522;522;139
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;03/2020;70.318.542;22.935.670;65.911.143;28.863.083;4.407.399;35.449;7;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;03/2020;66.620.855;12.273.582;65.213.863;61.349.327;1.406.992;16.443;6;0
REDECARD S.A.;1425787;n4;;I;2;SAO PAULO;SP;03/2020;63.881.684;0;46.656.047;0;17.225.637;98.795;1;0
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;03/2020;62.366.376;5.238.393;57.608.956;23.141.796;4.757.420;-14.355;10;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;03/2020;59.121.464;10.716.778;53.504.415;16.756.066;5.617.049;327.653;296;2
BANCOOB;51750;b1;S3;C;2;BRASILIA;DF;03/2020;56.734.864;9.708.317;54.766.465;47.706.710;1.968.399;54.999;7;0
ING;51073;b1;S3;C;3;SAO PAULO;SP;03/2020;53.300.604;4.290.628;52.297.257;12.101.442;1.003.347;14.524;4;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;03/2020;49.852.247;27.763.468;45.871.104;31.789.212;3.981.143;55.452;19;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;03/2020;48.806.726;17.856.518;44.760.046;28.552.706;4.046.679;80.997;13;0
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2020;39.634.609;63.909;36.937.583;21.014.635;2.697.027;140.816;6;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;03/2020;38.916.101;23.406.200;35.019.416;29.656.386;3.896.686;395.880;49;0
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;03/2020;37.718.223;3.438.712;36.069.869;8.487.773;1.648.354;-14.416;5;0
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;03/2020;36.465.161;519.708;33.552.511;14.216.326;2.912.650;43.403;4;0
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;03/2020;34.439.605;1.930.233;33.176.371;7.344.983;1.263.234;2.811;2;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;03/2020;33.611.761;24.704.385;28.589.861;22.770.285;5.021.900;170.558;4;0
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;03/2020;29.974.792;0;26.265.617;10.579.091;3.709.175;228.469;4;0
BANESTES;30159;b1;S3;C;1;VITORIA;ES;03/2020;27.050.336;4.502.640;25.494.676;24.556.837;1.555.661;82.513;119;36
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;n4;;I;2;SAO PAULO;SP;03/2020;26.925.483;64.909;24.181.268;841.902;2.744.215;132.636;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;03/2020;23.769.857;18.140.368;21.108.818;16.606.534;2.661.039;36.870;2;0
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;03/2020;22.049.790;35.199;20.044.763;6.055.130;2.005.026;71.188;4;0
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;03/2020;21.864.223;2.536.537;20.403.261;5.089.826;1.460.962;17.601;4;0
CCB;32119;b1;S3;C;3;SAO PAULO;SP;03/2020;20.871.218;11.981.956;19.251.430;15.186.313;1.619.788;29.009;14;0
BANCO DA AMAZOA S.A.;4902979;b1;S3;I;1;BELEM;PA;03/2020;20.529.080;3.591.041;18.323.324;5.465.882;2.205.756;33.100;121;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;03/2020;20.311.672;11.718.487;16.343.847;13.006.148;3.967.825;75.625;38;0
NU PAGAMENTOS S.A.;18236120;n4;;I;2;SAO PAULO;SP;03/2020;19.543.963;11.967.734;18.616.942;5.488.636;927.021;-122.922;1;0
STONE PAGAMENTOS S.A.;16501555;n4;;I;2;SAO PAULO;SP;03/2020;18.775.840;0;17.602.112;1.255.097;1.173.728;93.777;1;0
BRB;31976;b1;S3;C;1;BRASILIA;DF;03/2020;17.594.235;11.470.556;15.834.430;13.663.069;1.759.806;107.574;128;12
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;03/2020;16.718.417;13.490.765;13.782.318;12.885.685;2.936.099;50.018;4;0
PAGSEGURO INTERNET S.A.;8561701;n4;;I;2;SAO PAULO;SP;03/2020;15.674.600;97.469;8.315.258;430.996;7.359.342;349.192;1;0
ALFA;51293;b1;S3;C;2;SAO PAULO;SP;03/2020;14.801.845;8.499.710;12.230.916;11.265.899;2.570.929;24.885;45;2
BANCO GM S.A.;59274605;b2;S3;I;3;SAO PAULO;SP;03/2020;14.414.158;10.389.328;11.702.804;8.582.446;2.711.354;146.618;2;0
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;03/2020;13.319.274;7.459.436;11.232.350;10.538.071;2.086.924;-133.197;4;0
MERCEDES-BENZ;51262;b2;S3;C;3;SAO PAULO;SP;03/2020;13.183.693;12.397.260;11.155.387;10.723.400;2.028.306;52.475;4;0
