Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;;;;;;;;Indústrias de Transformação;;;;;;;;Construção;;;;;;;;Serviços Industriais de Utilidade Pública;;;;;;;;Industrias Extrativas;;;;;;;;Comércio, Reparação de Veículos Automotores e Motocicletas;;;;;;;;Admistração Pública, Defesa e Seguridade Social;;;;;;;;Transporte, Armazenagem e Correio;;;;;;;;Outros;;;;;;;;Atividade não Informada ou não se Aplica;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2020;417.712.792;29.282;756.927;1.334.399;1.142.546;575.080;281.315;0;4.119.549;449.560;16.695.281;14.776.411;9.614.456;1.860.808;292.702;19;43.689.236;327.633;1.653.840;1.635.516;1.991.028;552.565;260.421;4;6.421.008;8.632;395.402;784.047;1.031.470;412.471;943.381;282.235;3.857.638;874;645.766;872.658;147.881;15.188;68;0;1.682.436;870.400;15.576.367;15.374.393;8.359.486;1.311.738;73.320;0;41.565.703;25;4.952;43.488;211.072;213.693;433.419;96.926;1.003.574;210.154;2.426.077;3.207.017;4.372.208;8.149.630;172.082;0;18.537.168;668.048;9.897.441;7.637.529;9.110.941;2.456.944;1.269.055;0;31.039.958;62;1.606;265.794.854
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2020;333.409.446;387.774;647.399;964.813;937.194;189.461;41.791;22;3.168.454;674.559;17.430.638;19.707.732;11.368.322;8.572.542;5.014.017;625.213;63.393.023;466.132;1.811.115;2.751.855;4.404.883;1.497.012;173.183;217.182;11.321.363;8.204;259.379;828.935;926.859;325.101;1.265.498;234.699;3.848.675;4.012;372.198;359.512;161.126;48.358;38.210;0;983.416;1.164.473;21.530.268;16.443.876;10.423.649;2.505.787;494.362;2.147;52.564.562;495;3.926;4.154;4.924;603;34;0;14.136;160.184;3.407.775;4.473.761;6.490.721;2.447.862;2.118.174;445;19.098.922;1.201.319;9.429.171;9.918.608;12.933.334;3.778.087;4.234.483;47.869;41.542.871;368;736;137.472.921
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2020;278.434.581;83.890;632.618;1.352.710;1.079.820;452.202;342.914;4.555;3.948.708;1.078.829;10.748.910;20.197.763;19.013.769;14.690.974;5.403.174;474.549;71.607.966;817.713;814.997;2.218.970;2.611.692;695.563;339.809;125.494;7.624.238;3.382;287.705;843.037;1.661.133;1.743.066;2.558.495;1.820.589;8.917.406;6.335;241.878;400.365;750.082;579.843;20.660;4.304;2.003.468;1.029.033;13.020.636;17.968.656;12.881.808;3.486.144;3.147.122;442.791;51.976.190;295;1.300.736;2.917.246;8.584.760;8.365.090;30.647.285;1.077.844;52.893.256;566.989;1.143.272;1.904.078;2.712.366;1.031.394;4.707.317;1.760.576;13.825.993;756.264;4.509.815;6.009.829;8.069.420;2.522.356;3.446.406;222.687;25.536.777;0;357;40.100.221
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2020;263.666.626;2.993;27.525;119.999;284.242;106.223;32.486;0;573.467;923.782;1.297.193;3.583.292;7.656.935;3.727.488;7.292.717;204.527;24.685.934;0;20.802;57.002;187.019;118.273;162.872;37.740;583.707;0;2.175.542;5.595.238;15.003.463;13.270.962;53.574.574;18.539.636;108.159.415;0;278.684;772.564;1.528.508;571.446;1.180.411;0;4.331.612;43;403.478;939.922;1.108.154;239.967;267.255;0;2.958.819;0;1.131.738;2.940.149;7.949.721;6.559.839;19.028.872;6.959.450;44.569.768;4.816;1.300.415;3.661.336;9.398.866;7.705.605;23.462.953;4.273.708;49.807.701;515.200;848.351;1.714.895;3.405.505;2.151.596;8.894.638;128.536;17.658.720;10.337.482;0;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2020;169.156.019;5.280;322.794;766.536;488.100;283.885;42.833;193;1.909.621;493.826;15.009.501;15.370.681;4.228.465;991.854;522.702;294.406;36.911.434;233.426;811.248;1.253.329;1.102.874;346.109;297.196;2.203;4.046.384;2.184;186.163;185.284;582.372;72.528;386.343;661.514;2.076.388;736;906.300;2.673.159;53.470;12.066;12.863;0;3.658.595;776.343;13.398.913;11.494.854;5.066.459;932.483;287.139;139.085;32.095.276;9;55.955;138.274;168.350;164.125;446.705;0;973.419;115.187;1.070.156;1.312.942;1.834.655;5.010.041;1.850.632;87.160;11.280.773;502.750;7.024.609;8.032.289;6.522.404;2.061.874;1.191.544;6.371;25.341.840;23;2.196;50.860.071
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2020;138.794.788;32.027;96.369;275.742;77.386;15.976;982;6;498.488;618.270;1.386.864;3.181.122;4.624.957;2.133.787;759.288;67.175;12.771.463;594.560;1.533.623;3.464.828;4.418.850;408.525;184.535;6.101;10.611.022;15.500;1.498.558;2.892.245;5.560.800;3.832.488;12.943.820;5.156.114;31.899.524;25.105;41.812;33.452;24.509;9.013;540;0;134.429;1.238.795;2.452.567;6.002.064;4.040.331;857.747;89.176;1.058;14.681.739;36.697;1.262.725;3.582.205;9.238.692;8.043.710;20.005.890;1.603.432;43.773.351;520.645;2.373.962;975.548;2.129.218;1.217.846;1.244.185;112.165;8.573.569;864.385;1.823.027;5.436.941;5.504.001;1.370.037;842.134;10.499;15.851.024;0;178;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2020;50.103.194;317;254.269;329.570;265.482;54.926;11.707;0;916.272;41.251;3.546.608;3.443.196;2.509.864;1.071.781;1.570.650;0;12.183.350;6.019;355.837;574.600;880.729;63.503;13.437;0;1.894.125;98;219.605;411.576;621.372;120.288;24.265;0;1.397.204;30;68.210;24.592;47.740;5.892;0;0;146.464;71.198;5.641.934;4.948.120;2.678.660;617.302;490.639;0;14.447.853;0;3;10;15;0;0;0;28;4.648;483.607;540.980;826.104;289.773;40.126;0;2.185.238;26.515;2.340.858;2.039.254;2.362.878;455.117;96.165;0;7.320.788;102;547;9.611.223
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2020;28.670.231;95.838;101.192;114.657;190.020;23.566;1.252;0;526.525;68.163;1.967.212;1.803.742;1.314.965;218.155;142.852;0;5.515.088;965;50.715;88.399;284.580;21.440;9.444;0;455.544;24.390;40.123;122.499;295.507;270.641;1.440.627;1.352.845;3.546.632;46;76.754;22.500;0;0;0;0;99.300;63;505.684;845.050;70.047;34.606;33;0;1.455.483;0;0;0;0;0;0;0;0;0;138.828;158.118;54.915;13.674;0;0;365.535;5.964;429.304;816.554;1.895.117;358.402;258.091;0;3.763.431;126.770;0;12.815.923
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2020;17.567.969;3;5.676;8.717;623;67;0;0;15.086;1.190;4.359.590;2.563.397;1.209.576;1.049.461;759;82;9.184.055;0;719;1.876;2.829;8;0;0;5.433;0;151.784;826;0;0;0;0;152.610;0;107.522;0;0;0;0;0;107.522;5.609;1.796.738;1.081.802;376.112;953.754;140;0;4.214.156;0;0;0;0;0;0;0;0;1.924;200.868;64.773;39.584;4.629;0;0;311.778;86.238;2.081.799;889.375;448.929;70.988;0;0;3.577.329;0;1;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2020;17.431.156;3;98.263;210.356;286.913;58.299;21.792;0;675.626;108.379;1.072.948;1.872.282;1.641.901;455.541;154.821;0;5.305.871;4.496;148.371;732.478;785.858;125.385;35.629;0;1.832.218;65;118.147;47.485;40.533;35.022;3.890;0;245.142;0;90.375;73.981;42.162;7.027;0;0;213.545;32.288;680.218;1.684.656;463.125;99.618;69.390;0;3.029.296;0;0;0;0;0;0;0;0;8.270;107.905;492.478;202.741;49.301;8.223;0;868.919;48.149;748.788;834.060;755.868;196.909;10.467;0;2.594.241;0;1;2.666.297
