Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura;;;;;;;;Indústrias de Transformação;;;;;;;;Construção;;;;;;;;Serviços Industriais de Utilidade Pública;;;;;;;;Industrias Extrativas;;;;;;;;Comércio, Reparação de Veículos Automotores e Motocicletas;;;;;;;;Admistração Pública, Defesa e Seguridade Social;;;;;;;;Transporte, Armazenagem e Correio;;;;;;;;Outros;;;;;;;;Atividade não Informada ou não se Aplica;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;a Vencer entre 1081 e 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2019;331.993.002;10.360;661.227;1.244.376;970.483;383.969;92.042;0;3.362.456;348.564;14.732.626;12.333.654;8.310.471;2.187.415;328.850;0;38.241.578;166.625;1.687.038;1.862.256;2.148.499;262.172;150.088;15;6.276.693;32.338;361.892;663.283;1.168.218;620.590;1.046.005;310.941;4.203.267;1.579;177.898;151.929;146.721;24.691;22;0;502.839;754.202;13.322.081;12.514.197;7.470.184;1.067.027;94.112;0;35.221.802;70;401;303;232;0;0;0;1.007;402.735;2.075.539;2.446.260;3.540.260;4.132.055;2.130.523;0;14.727.372;388.206;7.186.643;7.279.326;7.277.996;2.142.451;1.094.475;5;25.369.102;15;4.442;204.082.429
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2019;278.914.555;127.968;672.044;1.067.167;982.824;213.088;55.363;37;3.118.490;519.154;15.026.734;20.017.140;8.044.061;5.000.793;5.598.661;616.110;54.822.652;295.252;2.645.595;2.816.982;5.302.281;1.831.850;659.154;220.575;13.771.689;16.431;343.289;525.868;1.000.422;446.098;1.325.173;270.842;3.928.124;10.467;563.796;1.151.145;120.036;38.652;9.124;0;1.893.220;933.183;20.097.198;13.172.140;9.058.259;2.091.326;351.745;2.550;45.706.402;43;4.383;4.133;4.193;579;0;0;13.330;179.830;3.332.289;3.288.266;5.474.776;2.452.792;2.166.341;33;16.894.328;935.439;9.212.508;11.258.765;10.907.953;3.600.037;4.920.860;97.159;40.932.721;249;1.123;97.832.227
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2019;276.739.820;14.701;45.142;126.338;431.375;299.713;275.110;0;1.192.380;47.861;1.522.691;4.506.591;10.369.447;6.400.338;6.263.812;50.833;29.161.574;0;27.087;72.291;200.414;147.942;60.432;0;508.166;0;2.020.597;5.521.313;13.821.898;13.446.079;50.526.881;18.044.255;103.381.024;0;394.221;1.068.945;2.613.784;1.604.017;1.439.816;0;7.120.783;0;312.776;1.636.407;1.578.410;360.028;210.609;0;4.098.231;7.258;1.111.640;2.851.127;7.286.193;7.351.114;20.057.401;7.674.186;46.338.919;7.962;1.709.063;3.223.563;9.136.673;7.544.920;22.488.322;4.548.305;48.658.810;63.906;2.230.269;3.475.682;4.871.145;2.453.354;8.972.172;140.240;22.206.766;14.073.168;0;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2019;262.957.216;144.815;539.976;1.508.701;950.943;596.783;323.423;5.038;4.069.679;1.857.394;11.697.301;20.818.819;16.160.158;12.255.175;10.754.921;300.485;73.844.253;848.596;1.178.994;2.452.436;3.203.874;820.573;472.696;62.577;9.039.746;3.949;356.239;1.177.855;2.404.472;1.102.494;2.198.665;2.978.728;10.222.402;2.971;112.840;201.607;442.996;702.243;242.588;4.848;1.710.094;1.494.808;12.242.019;16.682.615;11.718.205;3.166.138;2.438.828;560.011;48.302.625;3.918;659.595;2.623.876;6.017.978;6.774.613;25.749.749;1.101.998;42.931.726;436.220;988.852;1.566.486;2.514.267;1.255.293;3.807.980;2.287.263;12.856.361;490.634;3.837.845;7.163.686;8.844.405;2.774.425;2.566.067;914.452;26.591.514;0;394;33.388.422
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2019;142.044.237;42.052;90.775;194.627;113.274;46.739;50.451;10;537.928;651.626;1.743.851;3.286.039;4.725.678;2.565.657;1.497.233;94.257;14.564.340;1.084.399;1.818.766;3.731.571;4.303.604;364.674;196.178;12.623;11.511.815;14.098;1.487.340;2.786.558;5.958.414;4.256.470;12.628.705;6.143.042;33.274.627;18.769;12.280;54.730;31.816;10.859;1.349;5;129.806;1.382.359;3.581.575;5.032.639;4.238.827;760.314;123.015;2.547;15.121.276;715;1.144.058;3.297.343;7.733.604;6.735.590;18.547.779;1.873.753;39.332.842;520.610;2.172.132;1.022.938;2.150.978;1.309.276;1.234.710;132.158;8.542.803;832.480;2.403.323;5.499.629;7.045.845;1.819.399;1.410.443;17.526;19.028.644;1;153;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2019;129.047.243;21.327;248.575;530.262;420.962;146.932;63.412;193;1.431.663;482.349;13.573.325;10.577.105;4.128.168;1.156.201;280.543;220.366;30.418.057;329.372;1.036.594;1.340.770;1.165.147;443.425;187.732;810;4.503.850;10.912;200.710;346.412;598.157;184.498;444.605;634.286;2.419.580;56.532;1.057.946;2.092.979;70.977;13.977;13.247;0;3.305.659;890.783;11.433.192;9.637.134;4.359.147;793.091;262.223;16.756;27.392.326;2;39.790;149.071;176.068;99.347;343.029;6.897;814.204;62.395;1.012.670;1.070.214;2.064.562;534.717;4.861.512;239.610;9.845.679;349.417;6.255.827;7.024.834;5.837.945;2.205.156;1.430.610;6.426;23.110.216;65;1.875;25.804.067
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2019;48.356.067;5.315;164.961;401.309;343.663;52.787;3.011;0;971.047;41.027;3.631.993;3.654.400;2.401.166;1.037.355;1.940.455;0;12.706.396;4.018;334.316;565.963;966.387;192.316;8.478;0;2.071.479;48;121.586;326.109;855.816;122.635;28.616;0;1.454.810;22;45.007;27.699;39.310;17.033;0;0;129.072;53.395;3.838.513;5.312.616;2.133.277;384.215;127.751;0;11.849.767;2;43;10;21;1;0;0;77;3.831;511.555;541.359;687.400;285.340;68.427;0;2.097.910;14.745;2.138.425;2.933.895;2.240.009;600.936;85.302;0;8.013.312;54;265;9.061.880
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2019;21.999.483;13.245;39.584;200.787;177.634;11.571;1.362;0;444.182;105.698;326.110;1.892.427;1.057.645;225.577;162.718;0;3.770.176;1.366;51.482;151.151;270.408;1.745;466;0;476.617;22.826;20.659;69.842;274.306;248.855;1.394.739;1.523.054;3.554.282;0;0;0;0;0;0;0;0;44;24.487;57.853;31.585;2.447;65;0;116.479;0;8.354;1.671;5.012;627;0;0;15.663;63.734;10.247;148.060;69.603;28.770;0;0;320.414;263;133.539;1.006.453;1.177.571;201.340;318.541;0;2.837.706;126.739;0;10.337.223
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;06/2019;13.448.554;3;82.745;134.818;196.212;34.129;5.694;0;453.601;108.825;959.009;1.505.234;1.048.559;257.793;83.313;0;3.962.734;15.266;215.916;605.322;730.507;68.804;5.343;0;1.641.159;66;105.045;116.286;74.475;41.923;420;0;338.215;17;38.594;106.658;42.000;0;0;0;187.269;9.576;696.916;1.034.521;538.280;79.829;62.231;0;2.421.354;0;0;0;0;0;0;0;0;6;137.876;153.269;237.362;59.041;16.355;0;603.911;1.133;459.611;639.225;677.303;149.912;1.370;0;1.928.554;0;1;1.911.757
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;06/2019;12.596.625;224;47.370;86.844;25.598;3.273;22;0;163.331;65.342;2.133.126;1.358.816;566.027;37.415;1.993;6.128;4.168.848;693;104.356;195.014;119.704;11.003;0;2.131;432.901;406;72.887;68.119;126.687;9.633;0;0;277.732;7;108.331;4.907;2.305;0;0;0;115.549;64.106;1.736.975;1.127.010;448.217;62.098;826;9.899;3.449.132;0;6.808;0;0;0;0;0;6.808;15.121;141.023;179.998;137.547;30.191;579;7.570;512.029;11.106;918.046;852.715;614.466;118.378;3.686;7.878;2.526.274;5;43;943.974
