Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2019;672.891.628;319.940.026;84.556.886;110.741.117;27.584.241;129.634.665;434.693;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2019;615.308.167;258.858.783;93.094.609;79.070.535;33.439.931;114.453.567;248.043;36.142.699
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2019;612.910.624;217.599.821;28.506.633;44.482.478;10.847.819;50.368.448;458.108;260.647.317
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2019;487.080.387;219.099.439;32.772.570;57.364.403;19.387.287;59.527.858;271.032;98.657.798
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2019;316.674.753;181.011.046;21.399.886;32.813.808;10.063.782;44.871.353;179.393;26.335.483
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2019;276.741.323;155.792.818;32.669.547;40.793.418;5.147.347;28.043.130;14.295.063;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2019;70.262.837;35.875.179;4.446.384;7.326.913;1.636.998;11.899.448;6.710;9.071.205
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2019;52.157.558;28.301.956;4.089.834;6.242.662;1.988.167;10.151.021;12.728;1.371.190
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2019;33.724.355;3.770.365;479.679;1.118.122;512.339;27.721.953;6.675;115.221
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2019;22.844.141;6.687.767;3.196.482;669.184;381.021;1.072.048;126.750;10.710.889
