Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2019;331.993.002;3.555.858;16.212.828;47.534.652;60.043.786;559.007;4.442;204.082.429
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2019;278.914.555;11.437.180;22.565.963;39.599.675;35.218.480;72.259.906;1.123;97.832.227
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2019;276.739.820;0;1.013.706;3.134.209;263.862.183;8.729.722;0;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2019;262.957.216;2.602.251;29.081.557;54.667.807;141.088.954;2.127.830;394;33.388.422
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2019;142.044.237;8.553.942;14.837.822;24.063.833;94.588.486;0;153;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2019;129.047.243;6.455.405;16.955.940;41.676.680;37.101.947;1.051.329;1.875;25.804.067
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2019;48.356.067;372.029;1.747.839;11.517.512;25.302.817;353.726;265;9.061.880
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2019;21.999.483;611.231;53.962;415.695;10.581.372;0;0;10.337.223
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;06/2019;13.448.554;208.844;1.519.966;5.157.757;4.650.229;0;1;1.911.757
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;06/2019;12.596.625;111.047;315.646;4.554.065;5.879.518;792.333;43;943.974
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2019;12.274.859;998.041;151.507;460.101;9.294.020;0;0;1.371.190
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;06/2019;10.667.288;9.027;31.297;1.220.365;8.124.986;1.281.613;0;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;06/2019;10.204.995;332.452;1.128.290;4.737.396;4.006.857;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;06/2019;10.068.165;107.413;739.216;3.927.513;4.832.471;461.551;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;06/2019;9.142.048;157.269;130.355;1.170.158;7.684.265;0;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;06/2019;9.055.393;557.593;1.711.648;5.017.475;1.768.675;0;2;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2019;9.055.334;290.756;1.204.077;3.498.528;3.721.383;225.323;46;115.221
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;06/2019;6.760.932;0;131.511;770.337;5.859.084;0;0;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;06/2019;6.017.216;38.370;125.937;914.065;1.761.023;15.075;0;3.162.745
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;06/2019;5.827.873;428.546;313.808;2.108.886;2.976.629;0;4;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;06/2019;4.919.901;1.624.143;6.541;2.301.709;987.508;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;06/2019;4.507.710;96.749;329.772;2.092.502;1.952.848;35.839;0;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;06/2019;4.397.017;291.747;253.850;673.184;802.402;1.957.681;480;417.673
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;06/2019;4.353.151;308.498;321.545;1.073.233;2.162.133;487.743;0;0
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;06/2019;4.211.955;0;0;320.704;3.358.915;532.336;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;06/2019;4.194.979;244.874;1.219.460;2.211.164;497.830;21.650;0;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;06/2019;4.065.441;0;60.278;1.071.593;1.795.737;0;0;1.137.832
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;06/2019;3.704.693;573.838;922.460;1.913.430;294.965;0;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;06/2019;3.381.785;107.194;69.397;323.592;2.877.109;635;1;3.857
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;06/2019;3.279.366;1.241.028;342.397;1.538.488;157.454;0;0;0
SCAA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;06/2019;3.131.929;147.526;645.525;1.999.961;338.126;790;0;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;06/2019;3.035.006;272.590;107.128;1.035.401;1.388.115;149.187;1;82.585
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;06/2019;2.963.889;18.645;77.111;840.343;1.274.165;129.868;1;623.755
JOHN DEERE;50.071;b1;C;3;S3;199;INDAIATUBA;SP;06/2019;2.429.051;15.184;89.689;1.391.110;933.067;0;0;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;06/2019;2.380.389;1.003;31.979;186.706;1.883.498;0;0;277.203
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;06/2019;2.204.522;0;5.594;95.371;2.103.558;0;0;0
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;06/2019;2.199.707;25.483;20.952;581.055;1.572.218;0;0;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;06/2019;2.140.007;353.191;20.394;135.135;1.631.287;0;0;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;06/2019;2.046.083;591.045;698.913;701.771;37.964;16.310;80;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;06/2019;2.009.467;6.142;81.213;616.231;606.954;575.636;0;123.291
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;S4;8;SAO PAULO;SP;06/2019;1.871.856;0;0;48.651;1.823.206;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;06/2019;1.859.638;215.734;484.593;907.244;252.065;0;1;0
BANCO DA AMAZOA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;06/2019;1.830.385;146.918;109.153;131.374;1.442.937;0;3;0
BANCO MUFG BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;06/2019;1.721.036;6.007;3.726;156.277;1.555.026;0;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;06/2019;1.650.763;53.374;95.343;917.176;584.870;0;0;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;06/2019;1.649.533;134.277;227.142;863.693;286.102;138.318;0;0
MIZUHO;51.554;b1;I;3;S4;199;SAO PAULO;SP;06/2019;1.643.236;27.031;0;320.129;770.486;0;0;525.589
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;06/2019;1.638.234;72.077;157.058;723.420;581.253;104.427;0;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;06/2019;1.604.137;11.783;22.927;310.428;1.258.998;0;0;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;06/2019;1.575.244;72.123;357.235;862.907;282.125;852;2;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;06/2019;1.427.288;69.944;230.481;1.002.448;124.412;0;2;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;06/2019;1.418.466;33.269;188.288;699.093;497.816;0;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;06/2019;1.417.661;6.007;2.475;511.871;821.370;0;0;75.938
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;06/2019;1.389.759;209.856;251.969;564.120;242.175;121.639;1;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;06/2019;1.378.882;12.859;266.664;959.675;121.608;18.043;33;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;06/2019;1.249.940;233.931;192.330;651.148;172.531;0;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;S4;19;BARUERI;SP;06/2019;1.226.628;3.280;29.690;450.146;743.511;0;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;06/2019;1.216.255;81.267;50.731;623.729;460.528;0;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;06/2019;1.215.909;121.843;224.350;642.301;227.415;0;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;S4;30;CURITIBA;PR;06/2019;1.106.642;93.545;36.461;763.073;212.606;955;1;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;06/2019;1.051.116;65.167;309.229;463.461;191.197;22.062;1;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;S4;8;SAO PAULO;SP;06/2019;993.167;280.029;210.524;463.866;29.490;9.257;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;06/2019;986.264;307.371;534.254;142.672;1.513;449;5;0
BANCO FORD S.A.;90.731.688;b2;I;3;S4;8;SAO PAULO;SP;06/2019;976.247;0;2.031;858.897;115.319;0;0;0
RENDIMENTO;51.468;b1;C;2;S4;199;SAO PAULO;SP;06/2019;934.433;2.734;116.492;449.362;318.718;47.126;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;06/2019;916.446;188.758;349.564;293.472;84.651;0;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIAA;GO;06/2019;877.705;28.212;251.410;554.791;41.663;1.626;2;0
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;06/2019;860.696;157.323;176.627;438.266;88.477;0;3;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;06/2019;833.028;148.905;385.367;254.746;40.639;3.369;2;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42.898.825;b3S;I;2;S5;9;BELO HORIZONTE;MG;06/2019;821.953;31.655;78.809;574.639;135.554;1.296;0;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;S4;8;SAO PAULO;SP;06/2019;821.626;103.436;212.075;386.696;119.419;0;0;0
BANCO TOPÁZIO S.A.;7.679.404;b1;I;2;S4;8;PORTO ALEGRE;RS;06/2019;809.454;3.576;49.102;287.005;469.772;0;0;0
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;S5;9;LINHARES;ES;06/2019;796.917;71.635;196.911;468.077;47.163;13.128;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90.608.712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;06/2019;782.945;137.459;301.679;330.938;12.866;0;2;0
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;06/2019;719.762;41.352;139.357;490.928;48.126;0;0;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;06/2019;700.704;58.063;87.278;459.376;95.941;41;4;0
BOFA MERRILL LYNCH;51.255;b1;C;3;S3;199;SAO PAULO;SP;06/2019;699.531;0;0;251.597;447.934;0;0;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;06/2019;692.916;39.279;207.638;268.013;175.378;2.607;1;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82.937.293;n1;I;1;S4;30;FLORIANOPOLIS;SC;06/2019;688.259;15.399;70.980;485.630;116.250;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91.586.982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;06/2019;686.688;98.866;320.243;210.883;56.692;0;3;0
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17.453.575;b1;I;3;S4;8;SAO PAULO;SP;06/2019;671.815;0;0;91.036;580.779;0;0;0
UPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2.398.976;b3S;I;2;S4;9;LONDRINA;PR;06/2019;671.014;13.864;113.945;472.190;71.014;0;1;0
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;S4;8;SAO PAULO;SP;06/2019;658.731;0;0;0;658.731;0;0;0
GRUPO BONSUCESSO - BS2;52.034;b1;C;2;S4;199;BELO HORIZONTE;MG;06/2019;636.942;63.575;34.981;118.677;419.526;184;0;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.313.766;n1;I;2;S4;14;SAO PAULO;SP;06/2019;635.901;1.764;72.598;541.043;20.496;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UÃO PARANÁ/SÃO PAULO - SICREDI UÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;06/2019;586.478;88.923;239.054;184.396;74.098;0;6;0
