Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2017;330.648.975;19.780.342;5.578.513;43.134.697;262.155.423;0;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2017;314.959.344;43.510.185;37.168.780;65.167.408;136.241.179;1.401;32.870.391
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2017;303.113.554;2.704.868;14.666.046;45.921.632;68.238.973;10.133;171.571.901
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2017;243.658.170;24.869.122;22.505.671;57.097.365;59.268.215;9.706;79.908.090
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2017;184.199.190;26.159.792;24.765.324;56.675.168;76.596.410;2.496;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2017;119.790.293;5.668.084;15.305.152;38.836.941;44.004.006;4.040;15.972.071
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2017;42.041.062;694.248;1.288.611;9.868.318;21.746.530;60;8.443.295
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;06/2017;13.234.201;2.763.785;147.827;649.182;9.673.387;20;0
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2017;13.041.548;847.670;493.973;758.634;9.395.307;0;1.545.964
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;06/2017;12.237.323;167.120;1.180.542;4.794.511;3.738.760;1;2.356.390
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2017;11.205.730;463.961;116.057;398.449;6.219.594;0;4.007.670
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2017;10.921.276;382.769;1.493.728;4.653.979;4.256.162;499;134.139
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;06/2017;10.136.837;969.576;574.889;4.198.475;4.393.896;2;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;06/2017;9.360.443;304.738;376.554;8.550.269;128.852;30;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;06/2017;8.225.887;669.128;2.015.260;4.102.554;1.438.941;3;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;06/2017;7.758.608;393.872;534.855;5.023.042;1.806.082;758;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;06/2017;7.680.641;671.902;510.300;3.071.281;3.427.151;8;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;06/2017;7.522.802;426.697;865.510;5.143.980;1.086.615;0;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;06/2017;7.404.997;277.788;270.217;3.165.376;3.493.170;25;198.421
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;06/2017;6.461.802;322.579;401;595.434;5.543.388;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;06/2017;5.690.408;103.130;332.336;2.800.667;2.454.275;0;0
CREDIT SUISSE;30.771;b1;C;3;S2;199;SAO PAULO;SP;06/2017;4.595.168;9.080;61.933;637.329;2.208.034;0;1.678.791
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;06/2017;4.434.759;35.278;142.900;1.128.208;1.323.688;0;1.804.684
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;06/2017;3.961.214;145.290;231.059;1.268.034;2.316.831;0;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;06/2017;3.950.826;0;143.250;634.020;3.173.556;0;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;06/2017;3.792.561;197.551;154.320;452.619;2.695.805;0;292.267
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;06/2017;3.344.158;636.035;433.340;1.603.836;670.947;0;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;06/2017;3.253.787;415.694;10.440;977.958;1.152.689;0;697.006
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;06/2017;3.181.710;301.225;43.067;2.015.710;821.707;0;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;06/2017;3.168.779;50.847;622.252;2.198.292;297.388;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;06/2017;2.953.375;1.207.026;731.524;788.945;225.881;0;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;06/2017;2.913.489;1.518.429;210.378;704.772;408.029;256;71.624
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;06/2017;2.842.602;254.119;639.921;336.366;1.612.196;0;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;06/2017;2.646.621;116;12.526;494.287;1.862.742;1;276.949
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;06/2017;2.624.719;444;29.822;302.606;2.291.847;0;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;06/2017;2.321.971;119.247;261.618;1.722.069;219.017;20;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;06/2017;2.283.609;94.852;126.088;257.366;1.805.302;2;0
DEUTSCHE;51.183;b1;I;3;S3;199;SAO PAULO;SP;06/2017;2.242.250;11.212;53.203;394.183;1.783.651;0;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;06/2017;2.214.020;162;419.632;424.910;1.369.315;0;0
BANCO DA AMAZOA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;06/2017;2.202.100;14.219;141.751;206.781;1.839.343;6;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;06/2017;2.183.365;221.934;319.936;952.596;688.899;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;06/2017;2.158.396;1.336;0;555.129;950.837;0;651.094
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;06/2017;2.017.385;38.179;93.826;1.273.600;611.779;0;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;06/2017;1.758.267;479.832;154.258;1.016.308;107.868;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;06/2017;1.737.475;100.098;134.789;1.004.252;498.335;0;0
SCAA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;06/2017;1.626.734;129.843;286.434;1.015.577;194.879;0;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;06/2017;1.498.459;55.838;253.012;898.978;290.618;13;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;06/2017;1.442.581;6.398;31.359;735.618;669.205;0;0
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;06/2017;1.342.311;0;1.847;240.357;1.100.107;0;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;06/2017;1.288.918;34.203;0;334.931;919.784;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;S4;19;BARUERI;SP;06/2017;1.252.514;707;16.189;407.727;827.890;1;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;06/2017;1.235.711;417.934;141.713;350.671;325.383;10;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;S4;8;SAO PAULO;SP;06/2017;1.206.126;1.600;0;120.417;1.084.109;0;0
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;06/2017;1.171.438;46.030;3;537.439;587.966;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;S4;30;CURITIBA;PR;06/2017;1.158.546;78.347;34.266;764.413;281.519;1;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;06/2017;1.153.484;174.845;105.850;658.570;214.219;0;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;06/2017;1.148.379;94.880;284.609;713.583;55.297;11;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;06/2017;1.145.954;33.053;156.928;668.590;287.383;0;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;06/2017;1.088.048;7.909;133.016;805.943;141.091;90;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;06/2017;1.005.909;0;1.657;162.092;842.160;0;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;S4;8;SAO PAULO;SP;06/2017;988.773;98.978;299.714;528.000;62.081;0;0
INDUSVAL;50.531;b1;C;2;S4;199;SAO PAULO;SP;06/2017;955.317;65.042;43.892;399.912;372.505;0;73.966
BOFA MERRILL LYNCH;51.255;b1;C;3;S3;199;SAO PAULO;SP;06/2017;944.743;0;27.012;633.595;284.135;1;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;S4;8;SAO PAULO;SP;06/2017;862.286;171.020;207.370;483.896;0;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;06/2017;853.169;17.899;78.183;475.804;281.283;0;0
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;S4;8;SAO PAULO;SP;06/2017;812.247;0;0;2.716;809.531;0;0
BANCO FORD S.A.;90.731.688;b2;I;3;S4;8;SAO PAULO;SP;06/2017;749.802;0;1.372;656.283;92.147;0;0
