Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2015;408.636.830;12.952.480;55.578.197;98.528.757;174.166.884;27.295;67.383.216
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;09/2015;383.630.588;31.823.269;573.049;55.995.876;295.238.394;0;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2015;351.996.566;4.566.625;17.327.832;58.137.173;79.322.806;62.618;192.579.512
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2015;291.334.425;31.834.898;29.803.317;59.688.254;40.453.502;82.937;129.471.516
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2015;186.259.680;39.284.530;34.268.260;59.867.875;52.810.614;28.402;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2015;135.574.645;7.546.202;13.754.528;46.483.789;38.514.701;36.175;29.239.249
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;09/2015;49.568.664;2.125.475;2.394.375;13.427.416;20.926.207;4.619;10.690.572
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2015;47.839.894;372.364;188.634;599.400;8.723.686;0;37.955.810
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2015;47.545.613;1.094.757;855.114;12.789.609;18.547.009;1.635;14.257.489
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2015;17.202.879;17.286;2.615.556;1.635.266;10.025.564;350;2.908.857
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2015;14.420.621;415.172;1.766.710;6.932.444;5.027.961;7.527;270.807
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2015;14.200.739;2.106.050;1.030.412;1.283.781;9.780.368;129;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;09/2015;13.368.095;246.435;863.980;4.071.926;3.496.897;43;4.688.814
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2015;12.109.937;1.457.310;3.626.756;2.668.247;4.356.560;1.065;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;09/2015;9.791.861;683.841;1.493.383;6.235.444;1.379.188;5;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;09/2015;9.573.528;777.452;802.878;4.167.974;3.825.089;135;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2015;9.010.999;204.638;262.656;980.931;7.561.915;859;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;09/2015;8.720.457;603.105;630.900;3.968.795;3.517.654;3;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;09/2015;7.447.188;408.541;505.049;5.728.846;796.216;8.536;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;09/2015;6.777.224;66.890;32.612;322.996;2.077.411;0;4.277.314
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;09/2015;6.541.634;574.948;9.301;758.182;5.199.203;0;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;09/2015;6.455.230;251.305;649.429;2.992.750;1.577.529;2;984.216
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;09/2015;6.434.804;402.720;223.856;2.901.023;2.781.597;619;124.988
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;09/2015;5.509.533;136.080;428.804;2.757.760;2.186.877;11;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;09/2015;4.872.660;166.662;590.627;1.268.496;2.846.839;35;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;09/2015;4.862.524;0;113.731;549.774;2.719.104;0;1.479.914
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2015;4.578.992;918.022;564.871;2.000.529;1.095.540;30;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;09/2015;4.525.004;1.234.109;1.101.998;1.917.037;271.856;5;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;09/2015;4.360.888;281.961;74.321;684.427;2.754.013;0;566.166
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;09/2015;3.790.498;104.643;888.068;2.459.541;338.244;2;0
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;09/2015;3.559.910;3.132;40.856;432.287;3.083.633;3;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;;8;SAO PAULO;SP;09/2015;3.552.293;2.245;22.985;433.851;1.240.037;0;1.853.176
