Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2017;693.860.576;337.748.066;86.207.211;109.210.487;28.355.794;130.074.428;2.264.591;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2017;620.655.660;284.408.721;82.536.108;76.551.053;29.158.065;109.872.571;1.264.002;36.865.139
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2017;534.235.133;202.506.891;21.905.586;39.549.057;9.738.987;42.859.404;1.638.186;216.037.022
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2017;407.151.549;184.960.376;27.322.923;48.555.334;16.397.134;50.099.411;2.350.423;77.465.948
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2017;306.014.660;172.592.646;33.210.747;42.866.216;5.697.477;26.731.113;24.916.461;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2017;271.536.499;160.671.087;16.783.111;25.527.514;7.003.760;38.787.024;1.303.845;21.460.158
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2017;59.808.427;32.883.752;3.188.499;3.956.602;1.147.276;8.492.489;144.500;9.995.308
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2017;48.277.676;24.971.866;3.850.575;6.606.959;1.586.027;8.949.622;624.685;1.687.942
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2017;30.598.966;3.220.058;567.531;1.013.593;452.883;25.120.139;113.172;111.591
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2017;18.366.872;8.464.908;2.107.491;3.700.894;1.200.051;2.663.584;229.943;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2017;16.913.285;6.511.445;7.277.553;1.441.348;157.243;1.524.096;1.600;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2017;15.815.812;9.674.851;700.340;2.311.887;741.717;2.278.781;108.236;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2017;15.161.971;8.245.934;1.427.199;2.510.604;766.806;2.071.722;21.069;118.635
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2017;13.976.680;416.879;364.114;14.492;4.198;13.170.584;6.414;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2017;13.880.056;4.671.331;3.054.118;255.970;82.140;377.554;54.155;5.384.788
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2017;13.068.585;6.013.223;1.144.000;2.296.790;804.071;2.737.633;72.869;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2017;12.968.703;6.593.762;683.209;813.518;101.880;2.148.140;2;2.628.191
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2017;10.958.079;1.889.456;94.931;8.638.622;120.097;133.668;81.306;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2017;10.875.422;8.303.035;405.301;406.768;378.566;1.326.344;55.407;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2017;9.111.407;3.830.198;979.672;1.753.789;714.281;1.721.271;112.196;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2017;8.709.674;90.470;2.723.993;5.871;73.885;5.770.023;45.433;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2017;8.626.053;329.022;8.129.325;73.769;62.284;24.197;7.430;27
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2017;8.483.361;4.464.342;834.569;1.637.520;649.638;880.104;17.189;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;12/2017;7.964.631;4.587.257;538.800;1.008.199;154.326;1.672.535;3.513;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2017;7.718.190;4.776.903;1.106.161;561.664;78.890;1.181.139;13.433;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2017;7.692.439;1.732.733;2.168.082;567.321;241.000;2.959.285;24.018;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2017;7.116.123;2.228.414;375.292;776.588;181.210;813.514;1.871;2.739.234
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;12/2017;7.002.638;1.235.442;3.193.323;498.346;339.774;1.716.502;19.251;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2017;6.287.808;4.105.116;552.946;793.399;190.445;557.364;88.537;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;12/2017;6.059.712;4.701.754;308.263;517.430;72.092;409.460;50.714;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2017;6.054.126;5.708.930;107.430;179.420;9.557;48.784;6;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2017;6.011.006;4.575.982;225.904;702.077;95.705;293.708;117.631;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2017;5.772.820;2.510.948;676.021;160.186;437.282;1.944.087;44.296;0
