Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2017;306.013.138;17.499.364;1.113.052;3.225.026;284.175.696;0;0;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2017;301.992.985;4.679.653;30.534.631;60.348.194;172.798.074;0;1.283;33.631.151
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2017;292.809.505;2.545.429;14.083.034;42.808.779;68.395.484;0;10.494;164.966.284
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2017;233.990.564;43.928.312;12.976.986;44.089.252;55.999.883;0;10.588;76.985.544
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2017;172.951.203;12.343.282;21.295.405;29.338.745;109.971.150;0;2.620;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2017;119.509.831;3.155.671;15.436.898;38.360.825;49.251.987;0;4.793;13.299.656
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2017;46.439.270;721.917;883.493;10.606.033;24.242.530;0;57;9.985.238
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2017;13.234.121;666.788;145.139;823.502;6.452.476;0;0;5.146.217
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2017;13.208.660;797.578;679.666;503.589;9.539.885;0;0;1.687.942
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2017;12.748.935;96.162;1.329.485;4.691.881;4.036.314;0;2;2.595.092
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2017;10.804.157;3.422.245;0;394.484;6.987.428;0;1;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2017;10.306.888;736.121;594.246;4.271.016;4.705.502;0;2;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2017;9.969.495;332.382;1.327.679;4.273.551;3.923.810;0;482;111.591
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2017;9.513.740;1.068.879;270.960;3.731.087;4.330.824;0;71;111.918
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2017;7.973.581;598.429;1.746.857;4.123.410;1.504.879;0;5;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;12/2017;7.616.903;173.920;664.462;3.925.092;2.853.429;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2017;6.695.367;635.295;429.211;2.569.867;3.060.987;0;8;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2017;6.541.845;599.473;4.748;617.643;5.319.981;0;0;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2017;6.188.963;0;9.778;1.044.250;5.134.935;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2017;5.831.775;101.516;345.591;2.692.245;2.692.424;0;0;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2017;4.716.055;225.649;295.310;1.703.856;2.491.240;0;0;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2017;4.598.551;52.123;131.788;781.732;893.674;0;0;2.739.234
CREDIT SUISSE;30.771;b1;C;3;S2;199;SAO PAULO;SP;12/2017;4.170.043;944;1.661;111.594;2.626.947;0;0;1.428.897
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;12/2017;3.949.491;2.567.290;206.753;696.773;442.066;0;426;36.184
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;12/2017;3.763.602;161.050;138.030;460.163;2.722.924;0;0;281.434
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;12/2017;3.613.599;736.336;38.309;965.697;1.197.305;0;9;675.943
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;12/2017;3.447.265;467.453;19.862;2.071.055;888.894;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2017;3.332.911;1.557.203;522.062;998.051;255.595;0;0;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;12/2017;2.953.899;81;13.347;623.952;1.981.647;0;3;334.870
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;12/2017;2.947.938;54.291;550.906;2.049.376;293.366;0;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;12/2017;2.700.250;92.894;133.654;243.680;2.230.021;0;1;0
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;12/2017;2.595.829;0;142.030;2.210.628;243.170;0;0;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2017;2.447.133;515.929;152.131;1.623.617;155.455;0;0;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2017;2.442.700;497.689;266.392;1.215.198;463.420;0;0;0
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;12/2017;2.199.589;254.119;0;250.710;1.694.760;0;0;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2017;2.054.156;118.762;234.813;1.492.742;207.825;0;15;0
BANCO DA AMAZOA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;12/2017;2.022.049;12.858;141.665;189.761;1.677.759;0;5;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;12/2017;2.019.595;430;168.867;374.745;1.475.552;0;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;12/2017;1.927.685;0;3.653;331.375;1.315.128;0;0;277.530
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;12/2017;1.923.101;5.054;61.278;1.286.128;570.642;0;0;0
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;12/2017;1.834.255;33.174;77.184;1.117.782;606.115;0;0;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;12/2017;1.796.256;219.294;264.935;811.173;500.854;0;0;0
SCAA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;12/2017;1.789.843;114.757;309.215;1.192.795;173.076;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2017;1.664.325;231.534;407.072;978.298;47.397;0;24;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;12/2017;1.650.022;55.161;285.996;986.786;322.066;0;13;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;12/2017;1.592.592;13.293;33.055;761.029;756.384;0;0;28.831
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;12/2017;1.514.057;98.511;121.004;882.328;412.213;0;0;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;12/2017;1.291.460;8.270;207.965;886.272;188.838;0;114;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;12/2017;1.261.195;39.057;163.601;676.033;382.504;0;0;0
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;12/2017;1.257.284;0;647;192.580;1.064.058;0;0;0
BANCO FORD S.A.;90.731.688;b2;I;3;S4;8;SAO PAULO;SP;12/2017;1.239.700;0;443;1.093.951;145.307;0;0;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;12/2017;1.210.820;0;10.684;190.854;1.009.282;0;0;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2017;1.201.577;272.957;65.307;526.584;336.725;0;4;0
