Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2016;342.670.568;21.547.977;620.295;44.302.040;276.200.255;0;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2016;330.641.890;11.088.892;42.481.015;81.353.016;160.372.451;22.105;35.324.411
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2016;311.845.039;2.846.463;13.925.285;50.335.705;71.211.917;63.492;173.462.178
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2016;269.223.701;24.246.172;24.509.847;62.133.864;63.779.390;88.802;94.465.627
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2016;191.800.178;47.824.184;32.313.920;54.806.406;56.830.131;25.537;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2016;125.819.722;5.600.233;14.968.062;39.894.708;47.436.214;37.929;17.882.576
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2016;43.638.256;2.216.370;675.673;9.261.823;21.663.374;1.733;9.819.282
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2016;14.318.190;221.114;972.146;1.124.582;10.514.274;150;1.485.922
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2016;13.312.359;1.729.867;1.060.732;938.250;9.583.445;66;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;12/2016;11.863.456;192.726;947.973;4.832.994;3.742.043;51;2.147.668
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2016;11.706.489;374.641;1.435.893;5.233.969;4.499.996;7.851;154.139
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;12/2016;10.097.588;270.965;241.977;620.600;8.963.397;649;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;12/2016;9.828.970;949.958;570.710;4.038.728;4.269.566;8;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;12/2016;9.593.404;466.110;259.651;352.136;5.739.197;0;2.776.310
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2016;9.034.225;772.817;2.175.019;4.723.152;1.363.038;198;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;12/2016;8.393.137;722.563;563.225;3.544.943;3.562.270;136;0
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;12/2016;7.963.004;721.189;257.603;3.311.913;3.426.408;2.095;243.797
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;12/2016;7.826.763;334.398;488.083;5.998.138;994.258;11.885;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;12/2016;7.710.063;510.613;1.022.151;5.122.520;1.054.772;8;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2016;6.698.429;536.083;73;703.304;5.458.969;0;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;12/2016;5.890.921;16.016;63.283;299.089;2.183.570;0;3.328.962
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;12/2016;5.753.564;98.913;349.891;2.998.716;2.305.902;142;0
CCB;32.119;b1;C;3;;199;SAO PAULO;SP;12/2016;4.924.023;177.237;277.008;1.247.219;1.263.140;2;1.959.417
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;12/2016;4.529.403;2.298.486;263.625;1.269.665;539.563;9.980;148.084
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;12/2016;4.455.869;0;63.933;585.557;3.806.379;0;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;12/2016;3.937.318;165.142;400.401;1.256.042;2.115.725;8;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;12/2016;3.713.561;366.882;68.651;2.341.601;936.427;0;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;12/2016;3.673.612;535.455;575;1.399.479;1.185.681;74;552.349
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;12/2016;3.575.473;734.569;503.037;1.679.433;658.391;44;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;12/2016;3.539.963;152.414;16.433;748.653;2.264.457;0;358.006
