Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2015;390.960.765;14.134.508;57.410.093;101.649.816;155.822.052;27.779;61.916.517
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2015;371.000.783;5.299.944;17.880.614;64.827.813;73.590.750;59.583;209.342.078
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2015;353.056.165;27.172.950;4.751.449;22.165.333;298.966.433;0;0
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2015;265.705.422;30.590.209;30.459.479;56.770.707;43.894.555;81.579;103.908.893
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2015;174.662.884;36.384.113;33.598.407;48.647.620;56.004.644;28.100;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2015;133.466.086;7.795.117;13.454.813;46.168.868;38.286.700;34.678;27.725.910
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2015;48.394.785;867.734;1.237.878;14.243.264;19.391.317;1.232;12.653.361
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2015;47.180.130;5.732.713;2.376.903;12.697.259;15.595.031;6.302;10.771.922
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2015;18.687.036;57.120;2.946.382;2.028.954;9.927.808;283;3.726.489
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2015;15.733.506;3.453.750;331.717;2.988.326;3.601.509;1;5.358.204
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2015;14.732.194;604.304;1.770.352;6.886.460;5.229.238;7.934;233.906
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2015;13.318.155;1.445.988;4.036.493;3.024.092;4.810.555;1.027;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;03/2015;12.473.141;215.821;552.893;4.116.246;3.206.930;59;4.381.192
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2015;11.997.004;1.823.271;948.961;1.432.936;7.791.673;164;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;03/2015;10.219.436;745.566;1.628.389;6.446.299;1.399.177;5;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;03/2015;9.564.950;1.372.335;1.164.034;4.086.667;2.941.746;168;0
